Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,92/85,-,92/84,-,-,0/1
2024,22/15,-,22/14,-,-,0/1
2023,20/16,-,20/16,-,-,-
2022,16/12,-,16/12,-,-,-
2021,5/6,-,5/6,-,-,-
2020,3/4,-,3/4,-,-,-
2019,10/11,-,10/11,-,-,-
2018,13/13,-,13/13,-,-,-
2017,3/8,-,3/8,-,-,-
