Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,10/31,0/6,9/18,1/6,-,0/1
2024,4/10,0/2,4/6,0/1,-,0/1
2023,5/14,0/2,5/9,0/3,-,-
2022,1/6,0/1,0/3,1/2,-,-
2021,0/1,0/1,-,-,-,-
