Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,128/74,111/59,16/13,-,0/1,1/1
2024,22/17,22/14,0/1,-,0/1,0/1
2023,36/24,26/19,9/5,-,-,1/0
2022,27/13,24/11,3/2,-,-,-
2021,31/14,27/9,4/5,-,-,-
2019,6/4,6/4,-,-,-,-
2018,6/2,6/2,-,-,-,-
