Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,28/30,9/12,6/3,0/2,-,13/13
2024,6/12,3/9,-,0/1,-,3/2
2023,9/6,3/2,6/3,0/1,-,-
2022,3/2,3/1,-,-,-,0/1
2021,10/10,-,-,-,-,10/10
