Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
15.08.,Tomic B.,2,,,,,,12,0,56%,78% (43/55),65% (28/43),67% (2/3),29% (22/76),61% (23/38),21% (3/14),37,32,55% (6/11),72% (69/96),38% (43/114),53% (112/210),6,0,94% (15/16),20% (3/15),58% (18/31),"['5', '4']","['5', '3']","['3', '2']",[],[],1.41
15.08.,Mejia N.,1,,,,,,5,0,67%,74% (56/76),39% (15/38),79% (11/14),22% (12/55),35% (15/43),33% (1/3),40,54,53% (8/15),62% (71/114),28% (27/96),47% (98/210),4,0,80% (12/15),6% (1/16),42% (13/31),"['5', '5']",[],[],[],[],19.5
13.08.,Mejia N.,2,,,,,,6,4,66%,69% (40/58),60% (18/30),0% (0/2),33% (22/66),52% (15/29),56% (5/9),23,32,57% (4/7),66% (58/88),39% (37/95),52% (95/183),6,0,87% (13/15),36% (5/14),62% (18/29),"['2', '0', '5', '1']","['2', '3']","['2', '2', '6', '4']",[],[],19.5
13.08.,Sheehy J.,1,,,,,,10,3,69%,67% (44/66),48% (14/29),44% (4/9),31% (18/58),40% (12/30),100% (2/2),31,44,74% (17/23),61% (58/95),34% (30/88),48% (88/183),4,1,64% (9/14),13% (2/15),38% (11/29),[],"['3', '1']","['2', '1']",[],[],1.57
13.08.,Mejia N.,1,,,,,,4,2,72%,68% (30/44),53% (9/17),80% (4/5),52% (22/42),39% (9/23),38% (3/8),16,20,75% (6/8),63% (38/60),48% (31/65),55% (69/125),7,0,86% (6/7),38% (3/8),60% (9/15),"['3', '1']","['1', '0', '3', '0']",[],[],[],20.5
13.08.,Ganesan A.,0,,,,,,2,2,65%,52% (22/42),61% (14/23),63% (5/8),32% (14/44),47% (8/17),20% (1/5),16,31,63% (10/16),52% (34/65),37% (22/60),45% (56/125),3,0,63% (5/8),14% (1/7),40% (6/15),"['4', '5']",[],[],[],[],1.74
30.07.,Tomic B.,2,,,,,,10,0,60%,75% (33/44),59% (17/29),67% (2/3),38% (18/48),41% (12/29),29% (2/7),24,25,86% (12/14),68% (50/73),39% (30/77),53% (80/150),5,0,91% (10/11),20% (2/10),57% (12/21),"['2', '1']","['4', '2']",[],[],[],1.69
30.07.,Mejia N.,0,,,,,,3,0,62%,63% (30/48),59% (17/29),71% (5/7),25% (11/44),41% (12/29),33% (1/3),25,46,67% (6/9),61% (47/77),32% (23/73),47% (70/150),5,0,80% (8/10),9% (1/11),43% (9/21),"['2', '2']",[],[],[],[],2.07
28.07.,Mejia N.,1,,,,,,7,2,58%,75% (39/52),70% (26/37),50% (1/2),29% (16/56),49% (21/43),29% (4/14),23,26,100% (4/4),73% (65/89),37% (37/99),54% (102/188),7,0,93% (14/15),27% (4/15),60% (18/30),"['4', '4']","['6', '5']","['2', '1', '4', '1']",[],[],3.10
28.07.,Holmgren A.,1,,,,,,16,9,57%,71% (40/56),51% (22/43),71% (10/14),25% (13/52),30% (11/37),50% (1/2),36,65,38% (6/16),63% (62/99),27% (24/89),46% (86/188),3,0,73% (11/15),7% (1/15),40% (12/30),"['2', '1']",[],[],[],[],1.34
22.07.,Shimizu Y.,2,,,,,,1,2,59%,73% (24/33),52% (12/23),67% (2/3),35% (11/31),61% (14/23),67% (4/6),11,25,50% (6/12),64% (36/56),46% (25/54),55% (61/110),5,0,89% (8/9),44% (4/9),67% (12/18),"['3', '2', '5', '2']","['1', '0', '4', '1']",[],[],[],1.96
22.07.,Mejia N.,0,,,,,,1,1,57%,65% (20/31),39% (9/23),33% (2/6),27% (9/33),48% (11/23),33% (1/3),11,36,25% (1/4),54% (29/54),36% (20/56),45% (49/110),5,0,56% (5/9),11% (1/9),33% (6/18),"['3', '5']",[],[],[],[],1.77
16.07.,Basavareddy N.,2,,,,,,5,1,52%,78% (18/23),71% (15/21),100% (1/1),42% (13/31),52% (12/23),67% (4/6),16,17,89% (8/9),75% (33/44),46% (25/54),59% (58/98),8,0,100% (8/8),44% (4/9),71% (12/17),"['5', '4']","['1', '0', '3', '0', '6', '1']",[],[],[],1.31
16.07.,Mejia N.,0,,,,,,3,1,57%,58% (18/31),48% (11/23),33% (2/6),22% (5/23),29% (6/21),0% (0/1),14,22,88% (7/8),54% (29/54),25% (11/44),41% (40/98),2,0,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],3.53
14.07.,Mejia N.,2,,,,,,3,1,66%,83% (35/42),45% (10/22),67% (2/3),26% (10/38),62% (16/26),50% (3/6),14,24,75% (3/4),70% (45/64),41% (26/64),55% (71/128),8,0,91% (10/11),30% (3/10),62% (13/21),"['4', '2']","['1', '0', '6', '5']",[],[],[],2.68
14.07.,Cassone M.,0,,,,,,3,5,59%,74% (28/38),38% (10/26),50% (3/6),17% (7/42),55% (12/22),33% (1/3),14,33,58% (7/12),59% (38/64),30% (19/64),45% (57/128),2,0,70% (7/10),9% (1/11),38% (8/21),[],"['1', '1']",[],[],[],1.48
13.07.,Mejia N.,2,,,,,,3,3,56%,67% (26/39),68% (21/31),100% (4/4),38% (12/32),47% (16/34),33% (3/9),10,21,50% (1/2),67% (47/70),42% (28/66),55% (75/136),8,0,100% (10/10),30% (3/10),65% (13/20),"['2', '1', '4', '1']","['6', '5']",[],[],[],1.15
13.07.,Strode I.,0,,,,,,3,5,48%,63% (20/32),53% (18/34),67% (6/9),33% (13/39),32% (10/31),0% (0/4),20,47,33% (3/9),58% (38/66),33% (23/70),45% (61/136),2,0,70% (7/10),0% (0/10),35% (7/20),[],[],[],[],[],5.52
08.07.,Andrade A.,2,,,,,,5,4,53%,66% (33/50),48% (21/44),44% (4/9),33% (23/70),67% (22/33),56% (5/9),32,49,69% (9/13),57% (54/94),44% (45/103),50% (99/197),8,2,67% (10/15),31% (5/16),48% (15/31),[],"['3', '5', '5', '5', '7', '5']","['4', '4', '7', '5']",[],[],2.21
08.07.,Mejia N.,1,,,,,,9,3,68%,67% (47/70),33% (11/33),44% (4/9),34% (17/50),52% (23/44),56% (5/9),28,39,55% (6/11),56% (58/103),43% (40/94),50% (98/197),2,0,69% (11/16),33% (5/15),52% (16/31),"['2', '0', '4', '0']","['2', '1', '4', '1']","['3', '2']",[],[],1.62
01.07.,Sakamoto R.,2,,,,,,12,4,60%,69% (55/80),51% (27/53),87% (13/15),33% (17/52),47% (22/47),38% (5/13),42,62,65% (13/20),62% (82/133),39% (39/99),52% (121/232),8,0,87% (13/15),33% (5/15),60% (18/30),"['2', '1']","['4', '2']","['1', '0', '4', '3', '6', '3']",[],[],1.62
01.07.,Mejia N.,1,,,,,,3,2,53%,67% (35/52),53% (25/47),62% (8/13),31% (25/80),49% (26/53),13% (2/15),22,50,67% (6/9),61% (60/99),38% (51/133),48% (111/232),2,2,67% (10/15),13% (2/15),40% (12/30),"['5', '5']",[],"['2', '2']",[],[],2.31
26.06.,Prado Angelo J. C.,2,,,,,,0,0,71%,71% (24/34),71% (10/14),50% (2/4),59% (22/37),47% (7/15),71% (5/7),71% (34/48),56% (29/52),63% (63/100),6,0,78% (7/9),63% (5/8),71% (12/17),"['1', '3', '3', '3', '5', '3']","['1', '0', '3', '0']",[],[],[],1.87
26.06.,Mejia N.,0,,,,,,0,2,71%,41% (15/37),53% (8/15),29% (2/7),29% (10/34),29% (4/14),50% (2/4),44% (23/52),29% (14/48),37% (37/100),4,0,38% (3/8),22% (2/9),29% (5/17),"['1', '0', '3', '0']",[],[],[],[],1.85
25.06.,Mejia N.,2,,,,,,3,3,59%,67% (51/76),43% (23/53),79% (15/19),39% (34/87),49% (17/35),46% (6/13),57% (74/129),42% (51/122),50% (125/251),7,0,75% (12/16),35% (6/17),55% (18/33),"['4', '5']","['2', '4', '4', '4']","['1', '0', '4', '1', '6', '3']",[],[],1.32
25.06.,Rodrigues P.,1,,,,,,0,5,71%,61% (53/87),51% (18/35),54% (7/13),33% (25/76),57% (30/53),21% (4/19),58% (71/122),43% (55/129),50% (126/251),3,0,65% (11/17),25% (4/16),45% (15/33),"['4', '2']","['1', '0', '4', '1']","['2', '4']",[],[],3.21
23.06.,Mejia N.,2,,,,,,1,1,61%,67% (31/46),67% (20/30),60% (3/5),41% (24/58),37% (10/27),23% (3/13),67% (51/76),40% (34/85),53% (85/161),6,0,83% (10/12),25% (3/12),54% (13/24),"['4', '4']","['2', '1', '6', '5']",[],[],[],1.70
23.06.,Kicker N.,0,,,,,,0,1,68%,59% (34/58),63% (17/27),77% (10/13),33% (15/46),33% (10/30),40% (2/5),60% (51/85),33% (25/76),47% (76/161),4,0,75% (9/12),17% (2/12),46% (11/24),"['3', '2']","['3', '3']",[],[],[],2.14
14.06.,Moriya H.,2,,,,,,[],"['1', '0', '3', '0', '5', '0']","['2', '1', '4', '3', '6', '5']",[],[],3.54
14.06.,Mejia N.,1,,,,,,"['2', '1', '4', '1', '6', '1']",[],"['3', '3', '4', '4']",[],[],1.26
13.06.,Mejia N.,2,,,,,,"['1', '1', '4', '2']","['1', '0', '3', '0', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],1.51
13.06.,Martinez A.,1,,,,,,"['1', '0', '3', '4']",[],[],[],[],2.42
12.06.,Mejia N.,2,,,,,,"['3', '2', '4', '3', '6', '3']","['2', '0']","['3', '1', '5', '1']",[],[],1.16
12.06.,Strode I.,1,,,,,,"['3', '3']","['2', '3', '4', '3']","['2', '5']",[],[],4.62
11.06.,Mejia N.,2,,,,,,"['1', '0', '4', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.10
11.06.,Finkelstein A.,0,,,,,,[],[],[],[],[],5.80
05.06.,Rybakov A.,2,,,,,,6,0,69%,85% (28/33),80% (12/15),0% (0/0),25% (10/40),64% (7/11),50% (2/4),83% (40/48),33% (17/51),58% (57/99),9,0,100% (10/10),22% (2/9),63% (12/19),"['2', '0']","['5', '4']",[],[],[],2.10
05.06.,Mejia N.,0,,,,,,6,0,78%,75% (30/40),36% (4/11),50% (2/4),15% (5/33),20% (3/15),0% (0/0),67% (34/51),17% (8/48),42% (42/99),1,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],1.69
03.06.,Mejia N.,2,,,,,,7,1,61%,70% (26/37),58% (14/24),25% (1/4),38% (15/39),59% (24/41),56% (5/9),66% (40/61),49% (39/80),56% (79/141),7,0,70% (7/10),45% (5/11),57% (12/21),"['1', '0', '4', '3', '6', '3']","['2', '0', '3', '1']",[],[],[],1.62
03.06.,Zink T.,0,,,,,,6,5,49%,62% (24/39),41% (17/41),44% (4/9),30% (11/37),42% (10/24),75% (3/4),51% (41/80),34% (21/61),44% (62/141),3,1,55% (6/11),30% (3/10),43% (9/21),"['3', '3']","['1', '2', '4', '5']",[],[],[],2.31
28.05.,Shimizu Y.,2,,,,,,1,0,64%,77% (33/43),50% (12/24),80% (4/5),39% (15/38),61% (17/28),44% (4/9),67% (45/67),48% (32/66),58% (77/133),9,0,89% (8/9),44% (4/9),67% (12/18),"['4', '5']","['2', '0', '4', '0', '6', '0']",[],[],[],2.36
28.05.,Mejia N.,0,,,,,,5,0,58%,61% (23/38),39% (11/28),56% (5/9),23% (10/43),50% (12/24),20% (1/5),52% (34/66),33% (22/67),42% (56/133),1,0,56% (5/9),11% (1/9),33% (6/18),"['5', '3']",[],[],[],[],1.55
14.05.,Rodrigues P.,2,,,,,,3,7,48%,58% (37/64),53% (36/68),68% (13/19),35% (22/62),52% (30/58),40% (6/15),55% (73/132),43% (52/120),50% (125/252),6,0,65% (11/17),38% (6/16),52% (17/33),"['1', '0', '3', '2']","['4', '4']","['2', '0', '4', '2', '5', '3']",[],[],4.30
14.05.,Mejia N.,1,,,,,,7,5,52%,65% (40/62),48% (28/58),60% (9/15),42% (27/64),47% (32/68),32% (6/19),57% (68/120),45% (59/132),50% (127/252),4,0,63% (10/16),35% (6/17),48% (16/33),"['1', '1', '3', '3']","['2', '1', '6', '5']","['2', '3', '3', '4']",[],[],1.19
13.05.,Mejia N.,2,,,,,,3,0,52%,100% (16/16),80% (12/15),0% (0/0),35% (7/20),77% (20/26),50% (5/10),90% (28/31),59% (27/46),71% (55/77),8,0,100% (7/7),83% (5/6),92% (12/13),"['2', '0', '4', '0', '6', '0']","['3', '1', '5', '1']",[],[],[],1.08
13.05.,Bertran P.,0,,,,,,0,7,43%,65% (13/20),23% (6/26),50% (5/10),0% (0/16),20% (3/15),0% (0/0),41% (19/46),10% (3/31),29% (22/77),2,0,17% (1/6),0% (0/7),8% (1/13),[],[],[],[],[],6.85
27.04.,Mejia N.,2,,,,,,4,2,64%,61% (39/64),56% (20/36),64% (9/14),46% (33/72),42% (13/31),63% (5/8),59% (59/100),45% (46/103),52% (105/203),7,0,64% (9/14),36% (5/14),50% (14/28),[],"['1', '0', '3', '0', '5', '2']","['2', '1', '4', '3']",[],[],2.63
27.04.,Draxl L.,1,,,,,,3,1,70%,54% (39/72),58% (18/31),38% (3/8),39% (25/64),44% (16/36),36% (5/14),55% (57/103),41% (41/100),48% (98/203),3,2,64% (9/14),36% (5/14),50% (14/28),"['2', '0', '6', '2']","['2', '4']","['2', '2', '5', '5']",[],[],1.45
26.04.,Mejia N.,2,,,,,,2,4,57%,69% (41/59),42% (19/45),72% (13/18),37% (23/62),58% (15/26),58% (7/12),58% (60/104),43% (38/88),51% (98/192),7,0,67% (10/15),44% (7/16),55% (17/31),"['1', '0', '3', '2', '5', '2']","['2', '1']","['1', '0', '4', '1', '6', '3']",[],[],2.66
26.04.,Spizzirri E.,1,,,,,,1,3,70%,63% (39/62),42% (11/26),42% (5/12),31% (18/59),58% (26/45),28% (5/18),57% (50/88),42% (44/104),49% (94/192),3,0,56% (9/16),33% (5/15),45% (14/31),"['1', '1', '3', '5']","['5', '5', '7', '5']","['2', '4']",[],[],1.44
