Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,562/411,455/284,46/51,59/61,2/15,-
2024,4/5,4/4,-,0/1,-,-
2023,38/34,32/28,1/1,5/5,-,-
2022,42/30,24/18,11/4,6/6,1/2,-
2021,28/14,24/13,-,4/1,-,-
2020,19/9,17/6,-,2/3,-,-
2019,28/28,16/16,4/6,8/5,0/1,-
2018,28/24,21/14,2/3,5/4,0/3,-
2017,31/25,27/16,1/3,3/6,-,-
2016,23/25,15/16,2/1,6/8,-,-
2015,30/20,23/16,-,7/4,-,-
2014,14/32,6/15,6/11,2/3,0/3,-
2013,37/30,26/15,6/9,4/4,1/2,-
2012,27/32,20/16,6/7,1/6,0/3,-
2011,51/29,46/23,1/2,4/3,0/1,-
2010,51/11,48/10,3/1,-,-,-
2009,19/11,19/11,-,-,-,-
2008,26/17,26/17,-,-,-,-
2007,35/17,30/12,3/3,2/2,-,-
2006,22/10,22/10,-,-,-,-
2005,9/8,9/8,-,-,-,-
