Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,68/116,20/35,48/81,-,-,-
2024,13/15,1/2,12/13,-,-,-
2023,7/19,2/4,5/15,-,-,-
2022,11/17,3/5,8/12,-,-,-
2021,7/10,0/3,7/7,-,-,-
2020,0/2,-,0/2,-,-,-
2019,13/21,5/6,8/15,-,-,-
2018,10/20,5/8,5/12,-,-,-
2017,7/12,4/7,3/5,-,-,-
