Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,102/88,61/46,35/34,-,-,6/8
2024,16/14,16/10,-,-,-,0/4
2023,31/21,21/14,4/3,-,-,6/4
2022,15/23,5/9,10/14,-,-,-
2021,38/28,19/13,19/15,-,-,-
2020,2/2,-,2/2,-,-,-
