Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,13/17,-,11/13,-,-,2/4
2024,13/8,-,11/7,-,-,2/1
2023,0/5,-,0/2,-,-,0/3
2021,0/4,-,0/4,-,-,-
