Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,62/82,10/23,52/59,-,-,-
2024,10/16,6/9,4/7,-,-,-
2023,5/17,1/4,4/13,-,-,-
2022,14/18,3/6,11/12,-,-,-
2021,19/17,0/3,19/14,-,-,-
2020,3/8,0/1,3/7,-,-,-
2019,10/4,-,10/4,-,-,-
2018,1/2,-,1/2,-,-,-
