Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,335/270,169/134,109/60,56/71,1/5,-
2024,23/23,17/17,6/5,0/1,-,-
2023,33/40,18/21,7/10,8/8,0/1,-
2022,44/40,18/17,17/10,8/10,1/3,-
2021,26/31,17/19,8/6,1/5,0/1,-
2020,26/20,5/9,14/6,7/5,-,-
2019,53/28,29/11,16/7,8/10,-,-
2018,38/26,16/17,18/4,4/5,-,-
2017,45/25,33/11,6/5,6/9,-,-
2016,27/20,8/5,8/4,11/11,-,-
2015,10/10,6/3,3/1,1/6,-,-
2014,10/7,2/4,6/2,2/1,-,-
