Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,724/623,328/257,246/200,132/143,12/19,6/4
2024,17/4,8/2,9/2,-,-,-
2023,19/8,11/4,8/4,-,-,-
2021,18/35,10/24,6/6,2/5,-,-
2020,13/20,1/9,2/4,10/7,-,-
2019,45/36,11/13,15/12,19/11,-,-
2018,40/24,10/5,24/11,6/8,-,-
2017,27/35,8/8,12/17,5/9,2/1,-
2016,19/29,8/12,5/9,2/5,1/3,3/0
2015,47/30,19/7,17/12,10/9,0/1,1/1
2014,32/31,14/12,15/13,1/5,1/1,1/0
2013,61/36,32/20,18/8,8/7,3/1,-
2012,31/27,19/16,5/4,6/5,1/1,0/1
2011,31/39,9/15,14/14,6/7,2/2,0/1
2010,38/35,24/15,8/9,5/9,1/1,0/1
2009,35/42,22/15,8/13,4/11,0/3,1/0
2008,53/32,27/13,2/7,24/12,-,-
2007,32/35,5/7,20/16,6/8,1/4,-
2006,30/32,21/18,5/7,4/7,-,-
2005,43/34,17/15,20/13,6/6,-,-
2004,38/33,23/19,12/6,3/7,0/1,-
2003,45/16,25/4,16/9,4/3,-,-
2002,10/10,4/4,5/4,1/2,-,-
