Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,281/218,13/11,228/175,26/21,14/11,-
2024,30/24,-,30/24,-,-,-
2023,44/29,4/2,28/22,5/3,7/2,-
2022,27/17,4/2,22/12,0/2,1/1,-
2021,8/12,2/3,6/9,-,-,-
2020,4/4,-,4/3,0/1,-,-
2019,24/28,1/2,18/24,5/2,-,-
2018,24/27,-,24/26,0/1,-,-
2017,55/20,-,50/18,5/2,-,-
2016,11/13,-,7/10,3/2,1/1,-
2015,18/10,2/2,13/7,3/1,-,-
2014,14/16,-,13/12,0/1,1/3,-
2013,16/11,-,13/8,1/1,2/2,-
2012,5/5,-,-,3/3,2/2,-
2011,0/1,-,-,0/1,-,-
2009,1/1,-,-,1/1,-,-
