Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,410/323,57/50,264/195,41/38,47/37,1/3
2024,2/3,-,0/2,2/1,-,-
2023,20/20,2/3,15/11,2/3,1/3,-
2022,33/28,6/4,20/18,2/2,5/4,-
2021,20/21,2/3,17/16,-,1/2,-
2020,30/22,0/4,27/15,3/3,-,-
2019,24/25,2/5,18/14,0/1,4/5,-
2018,30/25,11/3,14/13,0/4,5/3,0/2
2017,30/22,8/2,16/13,1/3,4/4,1/0
2016,30/28,1/5,17/15,1/4,11/4,-
2015,37/29,5/6,20/15,9/3,3/4,0/1
2014,45/27,6/4,28/16,5/2,6/5,-
2013,33/27,5/6,19/14,3/5,6/2,-
2012,17/11,-,14/7,2/3,1/1,-
2011,30/14,-,21/11,9/3,-,-
2010,8/8,2/2,4/5,2/1,-,-
2009,8/5,7/3,1/2,-,-,-
2008,5/1,-,5/1,-,-,-
2007,8/2,-,8/2,-,-,-
2006,0/4,-,0/4,-,-,-
2005,0/1,-,0/1,-,-,-
