Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,26/39,-,23/29,1/6,-,2/4
2024,10/16,-,10/16,-,-,-
2023,14/11,-,11/9,1/2,-,2/0
2022,2/12,-,2/4,0/4,-,0/4
