Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,224/223,7/8,139/116,74/90,4/9,-
2024,15/11,-,10/6,5/5,-,-
2023,26/34,-,13/14,10/18,3/2,-
2022,33/26,0/1,20/14,13/11,-,-
2021,16/26,5/5,3/10,8/11,-,-
2020,20/23,-,2/2,18/21,-,-
2019,14/25,0/1,12/18,2/4,0/2,-
2018,36/26,2/1,28/20,5/3,1/2,-
2017,32/22,-,30/19,2/3,-,-
2016,20/14,-,15/9,5/4,0/1,-
2015,6/8,-,6/3,0/3,0/2,-
2014,4/4,-,-,4/4,-,-
2013,2/4,-,0/1,2/3,-,-
