Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,92/94,11/19,77/71,-,-,4/4
2024,18/20,0/4,15/13,-,-,3/3
2023,28/20,-,27/19,-,-,1/1
2022,43/46,8/10,35/36,-,-,-
2021,3/5,3/5,-,-,-,-
2020,0/2,-,0/2,-,-,-
2019,0/1,-,0/1,-,-,-
