https://www.tennisexplorer.com/res/img/player/zkLomyH4-YsJWJZhE.jpeg
Ofner Sebastian
Country: Austria
Height / Weight: 191 cm / 81 kg
Age: 28 (12. 5. 1996)
Current/Highest rank - singles: 58. / 37.
Current/Highest rank - doubles: 247. / 159.
Sex: man
Plays: right
