Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,106/132,38/43,43/56,25/33,-,-
2024,11/18,4/5,4/6,3/7,-,-
2023,25/31,5/8,15/18,5/5,-,-
2022,21/22,7/4,3/11,11/7,-,-
2021,9/17,2/6,6/7,1/4,-,-
2020,2/8,-,2/7,0/1,-,-
2019,20/22,18/17,1/3,1/2,-,-
2018,17/10,1/1,12/4,4/5,-,-
2017,1/2,1/1,-,0/1,-,-
2016,0/2,0/1,-,0/1,-,-
