Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,66/84,9/19,54/59,-,-,3/6
2024,10/15,4/5,6/10,-,-,-
2023,23/21,2/3,19/16,-,-,2/2
2022,13/19,-,12/15,-,-,1/4
2021,16/13,0/2,16/11,-,-,-
2020,2/1,2/1,-,-,-,-
2019,0/2,0/2,-,-,-,-
2018,1/3,-,1/3,-,-,-
2017,1/8,1/6,0/2,-,-,-
2016,0/1,-,0/1,-,-,-
2015,0/1,-,0/1,-,-,-
