Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
19.08.,Sickenberger T.,2,,,,,,"['3', '5', '5', '5']","['1', '0']","['2', '0']",[],[],19.0
19.08.,Haliak M.,1,,,,,,"['3', '2', '5', '2']","['2', '2', '5', '3']",[],[],[],1.79
29.07.,Bailly G. A.,1,,,,,,"['1', '2', '3', '2', '4', '3', '6', '3']",[],[],[],[],1.04
29.07.,Haliak M.,0,,,,,,"['2', '0', '3', '3']",[],[],[],[],8.10
24.07.,Kasnikowski M.,2,,,,,,"['2', '0', '3', '1']","['1', '0', '3', '0']",[],[],[],1.35
24.07.,Haliak M.,0,,,,,,"['1', '2']",[],[],[],[],2.99
22.07.,Haliak M.,2,,,,,,"['1', '0', '4', '3', '6', '3']",[],"['2', '0', '7', '5']",[],[],3.46
22.07.,Cretu C.,1,,,,,,"['3', '3']","['1', '0', '3', '0', '5', '0']","['3', '4']",[],[],1.27
08.07.,Ribero F.,2,,,,,,"['1', '0', '3', '0', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],3.72
08.07.,Haliak M.,0,,,,,,"['2', '4', '4', '4']",[],[],[],[],1.24
03.07.,Loncarevic A.,1,,,,,,"['3', '1', '6', '2']","['3', '1']",[],[],[],2.66
03.07.,Haliak M.,0,,,,,,[],[],[],[],[],1.43
01.07.,Haliak M.,2,,,,,,"['4', '2', '6', '2']","['1', '3', '2', '4', '3', '5']","['1', '1', '3', '1', '4', '2', '6', '2']",[],[],1.27
01.07.,Bellifemine A.,1,,,,,,[],"['1', '0', '3', '0', '4', '1', '5', '2']","['1', '0', '2', '3']",[],[],3.46
27.05.,Vrbensky M.,0,,,,,,"['1', '0', '3', '0']",[],[],[],[],1.33
27.05.,Haliak M.,0,,,,,,[],[],[],[],[],3.09
22.05.,Petak D.,2,,,,,,"['2', '1', '6', '3']","['2', '4', '3', '5']","['2', '0', '7', '5']",[],[],2.77
22.05.,Haliak M.,1,,,,,,[],"['1', '0', '3', '0', '5', '2']","['2', '3']",[],[],1.40
20.05.,Haliak M.,2,,,,,,"['1', '0', '3', '0']","['1', '0', '6', '3']","['4', '2', '6', '4']",[],[],1.92
20.05.,Massard L.,1,,,,,,"['1', '3', '3', '3', '6', '4']",[],"['4', '5']",[],[],1.78
09.05.,Kubler J.,2,,,,,,"['5', '3']",[],"['3', '1', '5', '1']",[],[],1.06
09.05.,Haliak M.,1,,,,,,[],"['5', '3']",[],[],[],7.30
08.05.,Haliak M.,2,,,,,,"['2', '1', '4', '3', '6', '3']","['2', '0', '4', '0']",[],[],[],1.18
08.05.,Li Z.,0,,,,,,"['3', '3']",[],[],[],[],4.43
07.05.,Haliak M.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '5', '2']",[],[],[],1.19
07.05.,Chen X. D.,0,,,,,,[],[],[],[],[],4.28
02.05.,Bai Y.,2,,,,,,"['2', '1', '4', '1']","['2', '3', '4', '3']",[],[],[],1.23
02.05.,Haliak M.,0,,,,,,[],"['2', '0']",[],[],[],3.81
01.05.,Haliak M.,2,,,,,,"['3', '3', '5', '3']","['3', '2', '5', '4']",[],[],[],1.69
01.05.,Ferguson C.,0,,,,,,"['3', '2']","['4', '4']",[],[],[],2.08
30.04.,Haliak M.,2,,,,,,"['2', '1', '4', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],-
30.04.,Li W.,0,,,,,,[],[],[],[],[],-
21.03.,Bai Y.,2,,,,,,"['2', '3', '4', '3']","['1', '0', '3', '0', '6', '1']","['3', '1']",[],[],1.10
21.03.,Haliak M.,1,,,,,,"['2', '0', '4', '4', '6', '4']",[],[],[],[],5.90
20.03.,Haliak M.,2,,,,,,"['3', '2']","['2', '4', '4', '4', '7', '5']",[],[],[],3.81
20.03.,Imamura M.,0,,,,,,"['3', '3']","['1', '0', '4', '1']",[],[],[],1.23
19.03.,Haliak M.,2,,,,,,"['2', '1', '4', '5']","['2', '0', '4', '0']",[],[],[],2.09
19.03.,Ichikawa T.,0,,,,,,"['3', '3', '5', '3']",[],[],[],[],1.68
25.02.,Liaonenka A.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],2.44
25.02.,Haliak M.,0,,,,,,[],[],[],[],[],1.50
13.02.,Catry R.,2,,,,,,"['2', '0', '5', '1']","['2', '3']","['3', '1', '5', '1']",[],[],1.56
13.02.,Haliak M.,1,,,,,,[],"['3', '1', '4', '2']",[],[],[],2.30
12.02.,Haliak M.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],-
12.02.,Tomescu D. A.,0,,,,,,[],[],[],[],[],-
20.11.2024,Onofrei M. C.,0,,,,,,"['3', '1']",[],[],[],[],2.99
20.11.2024,Haliak M.,0,,,,,,[],[],[],[],[],1.35
15.11.2024,Kirkin E.,0,,,,,,"['2', '0', '4', '0']",[],[],[],[],1.44
15.11.2024,Haliak M.,0,,,,,,[],[],[],[],[],2.62
14.11.2024,Haliak M.,2,,,,,,"['1', '0', '6', '3']","['3', '1', '4', '2', '6', '2']",[],[],[],1.42
14.11.2024,Rahmani K.,0,,,,,,[],"['2', '3']",[],[],[],2.69
12.11.2024,Haliak M.,2,,,,,,"['1', '0', '3', '0']","['2', '1', '4', '1']",[],[],[],1.58
12.11.2024,D'Agostino S.,0,,,,,,"['2', '4']",[],[],[],[],2.26
26.10.2024,Bai Y.,2,,,,,,"['2', '0', '5', '1', '6', '2']","['3', '1', '5', '3', '6', '4']",[],[],[],1.14
26.10.2024,Haliak M.,0,,,,,,"['2', '5']","['3', '4', '4', '5']",[],[],[],5.05
25.10.2024,Haliak M.,2,,,,,,[],"['3', '1', '5', '1']","['1', '0', '4', '1', '6', '1']",[],[],4.89
25.10.2024,Cui J.,1,,,,,,"['2', '1']",[],[],[],[],1.15
23.10.2024,Haliak M.,2,,,,,,[],"['4', '3', '6', '3']",[],[],[],1.22
23.10.2024,Zheng Z.,0,,,,,,[],[],[],[],[],3.91
14.10.2024,Matsuda R.,1,,,,,,1,1,60%,71% (17/24),75% (12/16),0% (0/0),32% (10/31),67% (12/18),25% (2/8),73% (29/40),45% (22/49),57% (51/89),5,0,100% (7/7),29% (2/7),64% (9/14),"['5', '4']","['1', '0']",[],[],[],1.77
14.10.2024,Haliak M.,0,,,,,,1,2,63%,68% (21/31),33% (6/18),75% (6/8),29% (7/24),25% (4/16),0% (0/0),55% (27/49),28% (11/40),43% (38/89),5,0,71% (5/7),0% (0/7),36% (5/14),[],[],[],[],[],1.96
13.10.2024,Haliak M.,1,,,,,,2,0,58%,84% (16/19),71% (10/14),100% (1/1),44% (12/27),50% (9/18),50% (2/4),79% (26/33),47% (21/45),60% (47/78),9,0,100% (6/6),33% (2/6),67% (8/12),"['2', '1']","['1', '0']",[],[],[],1.48
13.10.2024,Tang S.,0,,,,,,3,3,60%,56% (15/27),50% (9/18),50% (2/4),16% (3/19),29% (4/14),0% (0/1),53% (24/45),21% (7/33),40% (31/78),1,0,67% (4/6),0% (0/6),33% (4/12),[],[],[],[],[],2.53
07.10.2024,Tang S.,1,,,,,,7,0,71%,69% (25/36),73% (11/15),50% (1/2),36% (12/33),58% (21/36),33% (3/9),71% (36/51),48% (33/69),57% (69/120),7,0,88% (7/8),38% (3/8),63% (10/16),"['5', '5']","['1', '0', '3', '0']",[],[],[],2.38
07.10.2024,Haliak M.,0,,,,,,0,3,48%,64% (21/33),42% (15/36),67% (6/9),31% (11/36),27% (4/15),50% (1/2),52% (36/69),29% (15/51),43% (51/120),3,0,63% (5/8),13% (1/8),38% (6/16),"['1', '0']",[],[],[],[],1.54
27.09.2024,Cui J.,1,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '0']",[],[],[],1.23
27.09.2024,Haliak M.,0,,,,,,[],[],[],[],[],3.81
26.09.2024,Haliak M.,2,,,,,,"['3', '3', '6', '4']","['2', '0']",[],[],[],1.31
26.09.2024,Tang S.,0,,,,,,"['2', '1']",[],[],[],[],3.20
24.09.2024,Haliak M.,2,,,,,,"['2', '3']","['1', '0', '3', '0']","['4', '3']",[],[],3.32
24.09.2024,Sasikumar M.,1,,,,,,"['3', '1', '7', '5']",[],[],[],[],1.29
21.09.2024,van Wyk K.,2,,,,,,"['3', '3']","['1', '1', '5', '3']","['2', '1', '4', '3']",[],[],1.27
21.09.2024,Haliak M.,1,,,,,,"['3', '2', '6', '5']","['1', '0']","['2', '2']",[],[],3.46
