Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,403/299,147/111,72/57,170/120,14/11,-
2024,20/14,2/5,-,18/9,-,-
2023,32/30,4/7,2/6,26/17,-,-
2022,40/30,6/7,13/5,19/14,2/4,-
2021,24/33,7/13,4/2,8/15,5/3,-
2020,27/22,5/5,9/9,13/8,-,-
2019,37/31,5/6,6/9,20/13,6/3,-
2018,49/32,13/12,10/5,25/14,1/1,-
2017,50/24,31/14,1/3,18/7,-,-
2016,38/21,26/12,-,12/9,-,-
2015,30/24,9/7,18/15,3/2,-,-
2014,33/21,16/10,9/3,8/8,-,-
2013,21/14,21/11,-,0/3,-,-
2012,2/2,2/1,-,0/1,-,-
2011,0/1,0/1,-,-,-,-
