Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,20/12,-,6/6,3/1,-,11/5
2024,5/5,-,2/4,3/1,-,-
2023,13/4,-,4/2,-,-,9/2
2022,2/3,-,-,-,-,2/3
