Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,36/42,34/38,2/4,-,-,-
2024,8/9,8/9,-,-,-,-
2023,3/2,3/2,-,-,-,-
2022,10/10,10/10,-,-,-,-
2021,0/2,0/2,-,-,-,-
2020,1/2,-,1/2,-,-,-
2018,9/9,9/9,-,-,-,-
2017,4/3,4/3,-,-,-,-
2016,1/5,0/3,1/2,-,-,-
