Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,84/74,40/31,28/25,7/15,-,9/3
2024,7/8,4/5,0/1,0/1,-,3/1
2023,9/3,7/2,-,-,-,2/1
2022,4/1,-,-,-,-,4/1
2020,0/1,0/1,-,-,-,-
2019,11/8,9/6,2/2,-,-,-
2018,7/17,4/5,2/8,1/4,-,-
2017,26/23,14/10,8/9,4/4,-,-
2016,12/3,-,12/3,-,-,-
2015,2/6,1/1,-,1/5,-,-
2014,5/3,-,4/2,1/1,-,-
2013,1/1,1/1,-,-,-,-
