Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
01.02.,Ramanathan R.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '4', '1']",[],[],[],1.21
01.02.,Setodji T.,0,,,,,,[],[],[],[],[],4.56
15.09.2024,Setodji T.,2,,,,,,[],"['1', '0', '4', '3']",[],[],[],1.14
15.09.2024,Tens D.,0,,,,,,[],"['3', '3']",[],[],[],5.38
14.09.2024,Setodji T.,2,,,,,,"['2', '1']","['1', '2', '3', '2', '6', '3']",[],[],[],1.17
14.09.2024,Rolis D.,0,,,,,,[],"['2', '0', '4', '6']",[],[],[],4.74
22.07.2024,Torres J. B.,2,,,,,,0,2,68%,81% (26/32),53% (8/15),100% (1/1),45% (10/22),61% (11/18),80% (4/5),72% (34/47),53% (21/40),63% (55/87),4,0,100% (8/8),50% (4/8),75% (12/16),"['4', '3', '6', '3']","['2', '0', '4', '0']",[],[],[],1.11
22.07.2024,Setodji T.,0,,,,,,2,1,55%,55% (12/22),39% (7/18),20% (1/5),19% (6/32),47% (7/15),0% (0/1),48% (19/40),28% (13/47),37% (32/87),6,2,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],5.91
21.07.2024,Setodji T.,2,,,,,,6,0,65%,67% (26/39),57% (12/21),83% (5/6),27% (8/30),77% (20/26),83% (5/6),63% (38/60),50% (28/56),57% (66/116),7,0,89% (8/9),50% (5/10),68% (13/19),"['3', '4', '6', '5']","['1', '0', '4', '1', '6', '1']",[],[],[],3.37
21.07.2024,Vasa I.,0,,,,,,3,2,54%,73% (22/30),23% (6/26),17% (1/6),33% (13/39),43% (9/21),17% (1/6),50% (28/56),37% (22/60),43% (50/116),3,0,50% (5/10),11% (1/9),32% (6/19),"['3', '1']",[],[],[],[],1.30
17.06.2024,Butvilas E.,2,,,,,,6,3,69%,80% (53/66),52% (15/29),100% (5/5),32% (19/60),61% (23/38),33% (4/12),72% (68/95),43% (42/98),57% (110/193),8,0,100% (14/14),33% (4/12),69% (18/26),"['2', '0', '4', '0']",[],"['2', '0', '5', '1']",[],[],1.05
17.06.2024,Setodji T.,1,,,,,,5,3,61%,68% (41/60),39% (15/38),67% (8/12),20% (13/66),48% (14/29),0% (0/5),57% (56/98),28% (27/95),43% (83/193),2,1,67% (8/12),0% (0/14),31% (8/26),[],[],[],[],[],8.70
04.02.2024,Muhamad Rifqi F.,2,,,,,,"['3', '1', '4', '2', '6', '2']","['5', '3']",[],[],[],1.76
04.02.2024,Setodji T.,0,,,,,,"['2', '3']",[],[],[],[],1.99
03.02.2024,Setodji T.,2,,,,,,"['2', '0', '4', '0']","['2', '1', '4', '1']",[],[],[],1.09
03.02.2024,Susanto A.,0,,,,,,[],[],[],[],[],6.65
30.12.2023,Delaney Je.,1,,,,,,0,0,75%,74% (20/27),44% (4/9),100% (5/5),47% (9/19),92% (11/12),57% (4/7),67% (24/36),65% (20/31),66% (44/67),100% (5/5),100% (4/4),100% (9/9),"['2', '0', '4', '0', '6', '0']","['2', '0']",[],[],[],2.76
30.12.2023,Setodji T.,0,,,,,,1,2,61%,53% (10/19),8% (1/12),43% (3/7),26% (7/27),56% (5/9),0% (0/5),35% (11/31),33% (12/36),34% (23/67),0% (0/4),0% (0/5),0% (0/9),[],[],[],[],[],1.42
12.08.2023,Setodji T.,2,,,,,,"['4', '4']","['1', '0', '3', '0', '4', '1']",[],[],[],1.02
12.08.2023,Didavi L.,0,,,,,,"['3', '2']","['1', '3']",[],[],[],12.00
10.08.2023,Setodji T.,2,,,,,,"['1', '1', '4', '2', '6', '2']","['2', '0', '5', '1']",[],[],[],1.59
10.08.2023,Hamza Reguig S.,0,,,,,,"['1', '0']",[],[],[],[],2.28
09.08.2023,Coulibaly E.,2,,,,,,"['1', '0', '3', '0', '5', '0', '6', '1']","['4', '2']",[],[],[],1.36
09.08.2023,Setodji T.,0,,,,,,"['1', '5']",[],[],[],[],2.99
30.07.2023,Hemery C.,2,,,,,,[],[],[],[],[],1.22
30.07.2023,Setodji T.,1,,,,,,[],[],[],[],[],3.93
29.07.2023,Setodji T.,2,,,,,,[],[],[],[],[],1.68
29.07.2023,Ouakaa A.,1,,,,,,[],[],[],[],[],2.06
28.07.2023,Setodji T.,2,,,,,,[],[],[],[],[],1.90
28.07.2023,Iradukunda G.,0,,,,,,[],[],[],[],[],1.81
27.07.2023,Setodji T.,2,,,,,,[],[],[],[],[],2.09
27.07.2023,Elsayed A.,0,,,,,,[],[],[],[],[],1.68
26.07.2023,Setodji T.,2,,,,,,[],[],[],[],[],1.22
26.07.2023,Bassem Sobhy M.,0,,,,,,[],[],[],[],[],3.93
09.07.2022,Setodji T.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '1', '4', '1']",[],[],[],-
09.07.2022,Habiyambere E.,0,,,,,,[],[],[],[],[],-
08.07.2022,Bushamuka W.,2,,,,,,"['2', '2', '5', '3']",[],"['2', '0', '5', '3']",[],[],-
08.07.2022,Setodji T.,1,,,,,,"['2', '1']",[],"['1', '2']",[],[],-
07.07.2022,Setodji T.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '4', '1', '6', '1']",[],[],[],-
07.07.2022,Seetso D.,0,,,,,,[],[],[],[],[],-
