Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,66/162,20/51,46/110,-,0/1,-
2024,6/18,1/3,5/15,-,-,-
2023,19/25,6/7,13/18,-,-,-
2022,4/18,0/6,4/12,-,-,-
2021,7/16,2/7,5/9,-,-,-
2020,4/12,1/3,3/9,-,-,-
2019,7/27,3/9,4/18,-,-,-
2018,6/15,1/6,5/8,-,0/1,-
2017,6/14,3/3,3/11,-,-,-
2015,5/9,3/7,2/2,-,-,-
2014,1/3,-,1/3,-,-,-
2013,1/2,-,1/2,-,-,-
2012,0/3,-,0/3,-,-,-
