Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
30.07.,Dutra Da Silva D.,2,,,,,,"['2', '0', '3', '1', '5', '1']","['2', '3', '4', '5']","['2', '1']",[],[],1.22
30.07.,Al Azmeh T.,1,,,,,,"['1', '2']","['2', '0', '5', '3', '6', '4']",[],[],[],3.91
03.07.,Kopp S.,2,,,,,,"['1', '2', '6', '5']","['2', '3']",[],[],[],1.09
03.07.,Al Azmeh T.,0,,,,,,"['2', '0']","['2', '0']",[],[],[],6.25
02.07.,Al Azmeh T.,2,,,,,,"['5', '4']","['5', '4', '6', '5']",[],[],[],1.64
02.07.,Marysko V.,0,,,,,,[],"['5', '5']",[],[],[],2.14
19.06.,Garcian A.,2,,,,,,"['1', '0', '2', '1', '4', '5']","['2', '0']","['2', '0', '4', '0', '6', '0']",[],[],-
19.06.,Al Azmeh T.,1,,,,,,"['1', '1', '3', '3', '5', '3']","['4', '5', '6', '5']",[],[],[],-
18.06.,Al Azmeh T.,2,,,,,,"['3', '3', '5', '3']","['3', '4', '5', '4']",[],[],[],3.62
18.06.,Prechtel S.,0,,,,,,"['3', '2']","['2', '0']",[],[],[],1.25
18.09.2024,Bulus C.,2,,,,,,"['2', '1']","['4', '3', '6', '3']",[],[],[],1.20
18.09.2024,Al Azmeh T.,0,,,,,,[],[],[],[],[],4.18
19.07.2024,Ejupovic E.,2,,,,,,"['2', '0', '4', '0']","['2', '1']",[],[],[],1.18
19.07.2024,Al Azmeh T.,0,,,,,,[],[],[],[],[],4.51
16.07.2024,Al Azmeh T.,2,,,,,,"['3', '2']","['1', '0', '3', '0', '6', '3']",[],[],[],1.40
16.07.2024,Trklja A.,0,,,,,,[],"['3', '5']",[],[],[],2.79
03.07.2024,Recek D.,2,,,,,,"['2', '0', '5', '3']","['2', '1', '5', '2']",[],[],[],1.45
03.07.2024,Al Azmeh T.,0,,,,,,"['2', '3']",[],[],[],[],2.62
15.06.2024,Nguyen P. V.,2,,,,,,"['5', '4']","['2', '0', '6', '2']",[],[],[],-
15.06.2024,Al Azmeh T.,0,,,,,,"['5', '5']",[],[],[],[],-
14.06.2024,Alkotop Moh.,2,,,,,,[],[],"['3', '1', '6', '4']",[],[],-
14.06.2024,Al Azmeh T.,1,,,,,,[],"['3', '1', '5', '1']","['4', '5']",[],[],-
13.06.2024,Al Azmeh T.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['4', '2', '6', '2']",[],[],[],-
13.06.2024,Yazdani A.,0,,,,,,[],[],[],[],[],-
12.06.2024,Al Azmeh T.,2,,,,,,"['2', '1']","['5', '4']",[],[],[],-
12.06.2024,Osmont G.,0,,,,,,[],[],[],[],[],-
11.06.2024,Samrej K.,2,,,,,,[],"['1', '0', '3', '0', '6', '3']",[],[],[],-
11.06.2024,Al Azmeh T.,0,,,,,,[],"['1', '3']",[],[],[],-
15.11.2023,Azkara A.,2,,,,,,"['1', '1', '4', '2']","['1', '0', '2', '1']",[],[],[],1.65
15.11.2023,Al Azmeh T.,0,,,,,,"['1', '0']","['1', '1']",[],[],[],2.13
31.08.2023,Lemstra K.,2,,,,,,"['3', '2', '5', '2']","['2', '1', '5', '2']",[],[],[],1.27
31.08.2023,Al Azmeh T.,0,,,,,,[],[],[],[],[],3.48
30.08.2023,Al Azmeh T.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '4', '1']",[],[],[],2.03
30.08.2023,Salazar D.,0,,,,,,[],[],[],[],[],1.70
24.08.2023,Raynel A.,2,,,,,,"['3', '1', '6', '2']","['2', '0', '4', '0']",[],[],[],1.58
24.08.2023,Al Azmeh T.,0,,,,,,[],[],[],[],[],2.27
22.08.2023,Al Azmeh T.,2,,,,,,"['6', '4']","['3', '1', '5', '1']",[],[],[],4.18
22.08.2023,Welte M.,0,,,,,,[],[],[],[],[],1.20
09.08.2023,Kelm Y.,2,,,,,,"['2', '0', '3', '1']","['1', '0', '3', '0']","['3', '1', '5', '1']",[],[],1.64
09.08.2023,Al Azmeh T.,1,,,,,,"['1', '2', '2', '3']","['1', '3', '3', '3', '5', '3']",[],[],[],2.16
27.07.2023,Gavrielides L.,2,,,,,,"['2', '0', '4', '0']","['1', '0']",[],[],[],1.07
27.07.2023,Al Azmeh T.,0,,,,,,[],"['1', '1']",[],[],[],7.14
14.06.2023,Royer V.,2,,,,,,[],[],[],[],[],1.02
14.06.2023,Al Azmeh T.,0,,,,,,[],[],[],[],[],10.50
08.06.2023,Denolly C.,2,,,,,,[],[],[],[],[],1.08
08.06.2023,Al Azmeh T.,0,,,,,,[],[],[],[],[],6.55
07.06.2023,Al Azmeh T.,2,,,,,,[],[],[],[],[],3.22
07.06.2023,Parizzia N.,0,,,,,,[],[],[],[],[],1.31
16.08.2022,Popovic S.,2,,,,,,"['5', '5']","['1', '0', '4', '1', '6', '1']",[],[],[],1.07
16.08.2022,Al Azmeh T.,0,,,,,,"['2', '1']",[],[],[],[],7.40
10.08.2022,Gobat A.,2,,,,,,[],"['4', '5']",[],[],[],1.19
10.08.2022,Al Azmeh T.,1,,,,,,"['4', '3', '6', '3']","['4', '2']",[],[],[],4.40
03.08.2022,Andreev A.,2,,,,,,"['4', '2', '6', '2']","['2', '0', '5', '1', '6', '2']",[],[],[],1.02
03.08.2022,Al Azmeh T.,0,,,,,,[],"['2', '5']",[],[],[],14.50
