Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,534/373,326/183,89/87,93/76,5/17,21/10
2024,49/14,36/11,11/2,2/1,-,-
2023,3/1,3/1,-,-,-,-
2021,9/15,6/8,0/1,3/5,0/1,-
2020,14/15,6/7,6/4,2/4,-,-
2019,16/26,8/11,2/6,4/4,1/3,1/2
2018,57/20,34/12,6/2,13/6,-,4/0
2017,17/21,11/10,1/6,4/2,0/2,1/1
2016,20/18,11/4,0/8,9/5,0/1,-
2015,34/30,13/12,12/11,3/5,0/2,6/0
2014,41/18,23/6,13/9,1/0,2/2,2/1
2013,14/27,7/10,1/9,5/6,1/2,-
2012,49/23,32/9,5/5,8/5,1/3,3/1
2011,46/30,37/16,-,7/11,0/1,2/2
2010,43/30,24/19,11/6,6/3,-,2/2
2009,50/25,37/13,5/5,8/7,-,-
2008,28/23,8/11,2/3,18/9,-,-
2007,40/29,30/20,10/7,0/1,-,0/1
2006,4/7,0/3,4/3,0/1,-,-
2005,0/1,-,-,0/1,-,-
