Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M25 Duffel (Belgium),clay,header
ITF MEN - SINGLES :  M25 Duffel (Belgium),clay,header
ITF MEN - SINGLES :  M25 Duffel (Belgium),clay,header
ITF MEN - SINGLES :  M25 Duffel (Belgium),clay,header
25.02.2024,Ly Nam H.,2,6^4,7^7,6,,,['-'],['-'],['-'],['-'],['-'],1.89
24.02.2024,Jong A. M.,2,6,4,6,,,['-'],['-'],['-'],['-'],['-'],1.33
24.02.2024,Steiner M.,1,3,6,3,,,['-'],['-'],['-'],['-'],['-'],3.12
23.02.2024,Jong A. M.,2,3,7^7,6,,,['-'],['-'],['-'],['-'],['-'],2.10
23.02.2024,Bai Y.,1,6,6^5,1,,,['-'],['-'],['-'],['-'],['-'],1.68
22.02.2024,Jong A. M.,2,6,7^7,,,,['-'],['-'],['-'],['-'],['-'],1.39
22.02.2024,Chanta T.,0,3,6^3,,,,['-'],['-'],['-'],['-'],['-'],2.83
21.02.2024,Jong A. M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.33
21.02.2024,Brosset S.,0,4,2,,,,['-'],['-'],['-'],['-'],['-'],3.12
ITF MEN - SINGLES :  M15 Nakhon Si Thammarat (Thailand),hard,header
17.02.2024,Jong A. M.,0,6^9,3,,,,['-'],['-'],['-'],['-'],['-'],2.01
17.02.2024,Decamps G.,2,7^11,6,,,,['-'],['-'],['-'],['-'],['-'],1.73
16.02.2024,Jong A. M.,2,7,6,,,,['-'],['-'],['-'],['-'],['-'],1.69
16.02.2024,M Rifqi F.,0,5,4,,,,['-'],['-'],['-'],['-'],['-'],2.06
15.02.2024,Jong A. M.,2,7,6,,,,['-'],['-'],['-'],['-'],['-'],1.69
15.02.2024,Lee D. H.,0,5,4,,,,['-'],['-'],['-'],['-'],['-'],2.06
14.02.2024,Jong A. M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.20
14.02.2024,Auytayakul S.,0,3,4,,,,['-'],['-'],['-'],['-'],['-'],4.17
ITF MEN - SINGLES :  M15 Veigy-Foncenex (France),hard,header
01.02.2024,Jong A. M.,0,2,3,,,,['-'],['-'],['-'],['-'],['-'],1.34
01.02.2024,Romano F.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],3.05
30.01.2024,Jong A. M.,2,6,4,6,,,['-'],['-'],['-'],['-'],['-'],1.25
30.01.2024,Weir P.,1,2,6,4,,,['-'],['-'],['-'],['-'],['-'],3.69
ITF MEN - SINGLES :  M25 Nussloch (Germany),hard,header
ITF MEN - SINGLES :  M15 Zahra 2 (Kuwait),hard,header
ITF MEN - SINGLES :  M15 Zahra (Kuwait),hard,header
ITF MEN - SINGLES :  M25 Trnava 2 (Slovakia),hard,header
10.11.2023,Jong A. M.,1,6,5,4,,,['-'],['-'],['-'],['-'],['-'],2.31
10.11.2023,Bertola R.,2,4,7,6,,,['-'],['-'],['-'],['-'],['-'],1.56
09.11.2023,Jong A. M.,1,6,1,,,,['-'],['-'],['-'],['-'],['-'],0
09.11.2023,Lanik T.,0,1,0,,,,['-'],['-'],['-'],['-'],['-'],0
08.11.2023,Jong A. M.,2,3,6,6,,,['-'],['-'],['-'],['-'],['-'],2.08
08.11.2023,Topo M.,1,6,4,2,,,['-'],['-'],['-'],['-'],['-'],1.69
ITF MEN - SINGLES :  M25 Sunderland 2 (United Kingdom),hard,header
ITF MEN - SINGLES :  M15 Vigo (Spain),clay,header
ITF MEN - SINGLES :  M25 Santa Margherita di Pula 7 (Italy),clay,header
ITF MEN - SINGLES :  M25 Santa Margherita di Pula 6 (Italy),clay,header
ITF MEN - SINGLES :  M15 Haren (Netherlands),clay,header
08.09.2023,Jong A. M.,0,4,1,,,,['-'],['-'],['-'],['-'],['-'],1.32
08.09.2023,Pontjodikromo S.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],3.15
07.09.2023,Jong A. M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.21
07.09.2023,Fix D.,0,4,1,,,,['-'],['-'],['-'],['-'],['-'],4.08
06.09.2023,Jong A. M.,2,7^16,6^4,6,,,['-'],['-'],['-'],['-'],['-'],1.25
06.09.2023,Slump S.,1,6^14,7^7,4,,,['-'],['-'],['-'],['-'],['-'],3.64
ITF MEN - SINGLES :  M25 Oldenzaal (Netherlands),clay,header
31.08.2023,Jong A. M.,0,2,6^6,,,,['-'],['-'],['-'],['-'],['-'],1.97
31.08.2023,Gerch L.,2,6,7^8,,,,['-'],['-'],['-'],['-'],['-'],1.86
30.08.2023,Jong A. M.,2,7,6,,,,['-'],['-'],['-'],['-'],['-'],1.02
30.08.2023,Van Zijl T.,0,5,0,,,,['-'],['-'],['-'],['-'],['-'],14.50
ITF MEN - SINGLES :  M25 Poznan (Poland),clay,header
25.08.2023,Jong A. M.,0,6^4,3,,,,['-'],['-'],['-'],['-'],['-'],1.45
25.08.2023,Wehnelt K.,2,7^7,6,,,,['-'],['-'],['-'],['-'],['-'],2.59
24.08.2023,Jong A. M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.43
24.08.2023,Compagnucci T.,0,1,4,,,,['-'],['-'],['-'],['-'],['-'],2.67
23.08.2023,Jong A. M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.44
23.08.2023,Agwi M.,0,4,4,,,,['-'],['-'],['-'],['-'],['-'],2.63
ITF MEN - SINGLES :  M15 Eindhoven (Netherlands),clay,header
04.08.2023,Jong A. M.,0,2,5,,,,['-'],['-'],['-'],['-'],['-'],1.82
04.08.2023,Moller E.,2,6,7,,,,['-'],['-'],['-'],['-'],['-'],1.89
03.08.2023,Jong A. M.,2,1,6,6,,,['-'],['-'],['-'],['-'],['-'],1.21
03.08.2023,Gentzsch T.,1,6,2,3,,,['-'],['-'],['-'],['-'],['-'],4.08
02.08.2023,Jong A. M.,2,7,6,,,,['-'],['-'],['-'],['-'],['-'],1.10
02.08.2023,Rottgering M.,0,5,2,,,,['-'],['-'],['-'],['-'],['-'],5.95
01.08.2023,Jong A. M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.15
01.08.2023,Donders D.,0,3,3,,,,['-'],['-'],['-'],['-'],['-'],4.89
ITF MEN - SINGLES :  M15 Metzingen (Germany),clay,header
CHALLENGER MEN - SINGLES :  Amersfoort (Netherlands),clay,header
ITF MEN - SINGLES :  M25 Duffel (Belgium),clay,header
ITF MEN - SINGLES :  M25 Deauville (France),clay,header
ITF MEN - SINGLES :  M15 Prijedor (Bosnia and Herzegovina),clay,header
ITF MEN - SINGLES :  M15 Kursumlijska Banja 3 (Serbia),clay,header
ITF MEN - SINGLES :  M15 Meerbusch (Germany),clay,header
ITF MEN - SINGLES :  M15 Telde 2 (Spain),clay,header
ITF MEN - SINGLES :  M15 Sharm ElSheikh 9 (Egypt),hard,header
ITF MEN - SINGLES :  M15 Sharm ElSheikh 8 (Egypt),hard,header
ITF MEN - SINGLES :  M15 Nakhon Si Thammarat 3 (Thailand),hard,header
ITF MEN - SINGLES :  M15 Nakhon Si Thammarat 2 (Thailand),hard,header
ITF MEN - SINGLES :  M15 Nakhon Si Thammarat (Thailand),hard,header
ITF MEN - SINGLES :  M15 Veigy-Foncenex (France),hard,header
ITF MEN - SINGLES :  M25 Nussloch (Germany),hard,header
ITF MEN - SINGLES :  M15 Zahra 2 (Kuwait),hard,header
ITF MEN - SINGLES :  M15 Zahra (Kuwait),hard,header
ITF MEN - SINGLES :  M25 Trnava 2 (Slovakia),hard,header
ITF MEN - SINGLES :  M25 Sunderland 2 (United Kingdom),hard,header
ITF MEN - SINGLES :  M15 Vigo (Spain),clay,header
ITF MEN - SINGLES :  M25 Santa Margherita di Pula 7 (Italy),clay,header
ITF MEN - SINGLES :  M25 Santa Margherita di Pula 6 (Italy),clay,header
ITF MEN - SINGLES :  M15 Haren (Netherlands),clay,header
ITF MEN - SINGLES :  M25 Oldenzaal (Netherlands),clay,header
ITF MEN - SINGLES :  M25 Poznan (Poland),clay,header
ITF MEN - SINGLES :  M15 Eindhoven (Netherlands),clay,header
ITF MEN - SINGLES :  M15 Metzingen (Germany),clay,header
CHALLENGER MEN - SINGLES :  Amersfoort (Netherlands),clay,header
ITF MEN - SINGLES :  M25 Duffel (Belgium),clay,header
ITF MEN - SINGLES :  M25 Deauville (France),clay,header
ITF MEN - SINGLES :  M15 Prijedor (Bosnia and Herzegovina),clay,header
ITF MEN - SINGLES :  M15 Kursumlijska Banja 3 (Serbia),clay,header
ITF MEN - SINGLES :  M15 Meerbusch (Germany),clay,header
ITF MEN - SINGLES :  M15 Telde 2 (Spain),clay,header
ITF MEN - SINGLES :  M15 Sharm ElSheikh 9 (Egypt),hard,header
ITF MEN - SINGLES :  M15 Sharm ElSheikh 8 (Egypt),hard,header
ITF MEN - SINGLES :  M15 Nakhon Si Thammarat 3 (Thailand),hard,header
ITF MEN - SINGLES :  M15 Nakhon Si Thammarat 2 (Thailand),hard,header
