Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,24/38,3/6,21/32,-,-,-
2024,16/23,3/1,13/22,-,-,-
2023,8/12,0/2,8/10,-,-,-
2019,0/3,0/3,-,-,-,-
