Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Savannah (USA),clay,header
22.04. 03:10,Mmoh M.,1,4,6,2,,,5,6,53%,62% (24/39),47% (16/34),50% (5/10),26% (10/38),68% (32/47),50% (5/10),55% (40/73),49% (42/85),52% (82/158),5,1,58% (7/12),42% (5/12),50% (12/24),[],[],[],[],[],1.40
22.04. 03:10,Tomic B.,2,6,0,6,,,6,7,45%,74% (28/38),32% (15/47),50% (5/10),38% (15/39),53% (18/34),50% (5/10),51% (43/85),45% (33/73),48% (76/158),5,0,58% (7/12),42% (5/12),50% (12/24),[],[],[],[],[],2.81
CHALLENGER MEN - SINGLES :  Tallahassee (USA),clay,header
16.04. 20:30,Mmoh M.,1,6^5,6,1,,,3,3,59%,65% (31/48),32% (11/34),40% (4/10),45% (22/49),50% (15/30),75% (6/8),51% (42/82),47% (37/79),49% (79/161),5,0,54% (7/13),46% (6/13),50% (13/26),[],[],[],[],[],1.53
16.04. 20:30,Andrade A.,2,7^7,1,6,,,1,5,62%,55% (27/49),50% (15/30),25% (2/8),35% (17/48),68% (23/34),60% (6/10),53% (42/79),49% (40/82),51% (82/161),5,0,54% (7/13),46% (6/13),50% (13/26),[],[],[],[],[],2.40
15.04. 01:45,Mmoh M.,2,6,6,,,,5,2,72%,75% (27/36),64% (9/14),67% (2/3),42% (14/33),54% (13/24),44% (4/9),72% (36/50),47% (27/57),59% (63/107),5,0,89% (8/9),44% (4/9),67% (12/18),[],[],[],[],[],2.25
15.04. 01:45,Barrios Vera T.,0,3,3,,,,1,1,58%,58% (19/33),46% (11/24),56% (5/9),25% (9/36),36% (5/14),33% (1/3),53% (30/57),28% (14/50),41% (44/107),5,3,56% (5/9),11% (1/9),33% (6/18),[],[],[],[],[],1.60
CHALLENGER MEN - SINGLES :  Sarasota (USA),clay,header
10.04. 21:45,Mmoh M.,1,6,3,2,,,5,4,62%,69% (33/48),30% (9/30),33% (3/9),37% (21/57),48% (16/33),57% (4/7),54% (42/78),41% (37/90),47% (79/168),2,0,54% (7/13),29% (4/14),41% (11/27),[],[],[],[],[],2.25
10.04. 21:45,Barrios Vera T.,2,4,6,6,,,3,2,63%,63% (36/57),52% (17/33),43% (3/7),31% (15/48),70% (21/30),67% (6/9),59% (53/90),46% (36/78),53% (89/168),8,0,71% (10/14),46% (6/13),59% (16/27),[],[],[],[],[],1.60
