Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,128/97,97/67,3/5,28/25,-,-
2024,9/9,6/6,-,3/3,-,-
2023,40/23,28/17,-,12/6,-,-
2022,35/17,30/14,1/2,4/1,-,-
2021,17/16,17/13,0/1,0/2,-,-
2020,9/7,-,1/1,8/6,-,-
2019,12/16,11/13,1/1,0/2,-,-
2018,5/8,5/4,-,0/4,-,-
2017,1/1,-,-,1/1,-,-
