Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,356/241,143/106,118/63,88/68,7/4,-
2024,4/3,1/2,3/1,-,-,-
2023,9/9,1/2,0/2,3/3,5/2,-
2020,9/9,0/1,7/7,-,2/1,-
2019,17/15,11/7,4/5,2/2,0/1,-
2018,47/18,20/6,26/9,1/3,-,-
2017,19/10,16/7,1/2,2/1,-,-
2016,21/17,6/8,12/6,3/3,-,-
2015,33/25,10/11,17/6,6/8,-,-
2014,40/28,14/16,9/5,17/7,-,-
2013,40/29,20/16,8/4,12/9,-,-
2012,36/19,21/7,4/1,11/11,-,-
2011,18/14,5/4,5/5,8/5,-,-
2010,30/22,11/8,9/5,10/9,-,-
2009,23/7,0/1,13/2,10/4,-,-
2008,5/10,4/6,0/2,1/2,-,-
2007,5/6,3/4,0/1,2/1,-,-
