Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
19.02.,Faut P. A.,2,,,,,,"['5', '3']","['5', '4']",[],[],[],2.62
19.02.,Bradshaw J.,0,,,,,,[],[],[],[],[],1.44
03.02.,McCabe J.,2,,,,,,6,1,48%,87% (20/23),60% (15/25),100% (1/1),42% (13/31),55% (11/20),44% (4/9),73% (35/48),47% (24/51),60% (59/99),8,0,100% (8/8),50% (4/8),75% (12/16),"['4', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],1.11
03.02.,Bradshaw J.,0,,,,,,1,2,61%,58% (18/31),45% (9/20),56% (5/9),13% (3/23),40% (10/25),0% (0/1),53% (27/51),27% (13/48),40% (40/99),2,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],5.85
28.01.,Jasika O.,2,,,,,,2,1,70%,85% (28/33),50% (7/14),100% (2/2),45% (15/33),58% (11/19),50% (4/8),74% (35/47),50% (26/52),62% (61/99),8,0,100% (8/8),50% (4/8),75% (12/16),"['4', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],1.26
28.01.,Bradshaw J.,0,,,,,,2,3,63%,55% (18/33),42% (8/19),50% (4/8),15% (5/33),50% (7/14),0% (0/2),50% (26/52),26% (12/47),38% (38/99),2,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],3.63
27.01.,Bradshaw J.,2,,,,,,3,1,68%,72% (48/67),65% (20/31),83% (5/6),23% (16/70),41% (11/27),25% (1/4),69% (68/98),28% (27/97),49% (95/195),7,0,93% (14/15),6% (1/16),48% (15/31),"['2', '1']",[],[],[],[],1.41
27.01.,Watt J.,1,,,,,,18,2,72%,77% (54/70),59% (16/27),75% (3/4),28% (19/67),35% (11/31),17% (1/6),72% (70/97),31% (30/98),51% (100/195),3,2,94% (15/16),7% (1/15),52% (16/31),[],"['5', '3']",[],[],[],2.77
26.01.,Bradshaw J.,2,,,,,,7,1,67%,82% (32/39),53% (10/19),100% (2/2),34% (12/35),43% (13/30),25% (2/8),72% (42/58),38% (25/65),54% (67/123),7,0,100% (10/10),22% (2/9),63% (12/19),"['6', '4']","['5', '3']",[],[],[],1.43
26.01.,Hewitt C.,0,,,,,,4,2,54%,66% (23/35),57% (17/30),75% (6/8),18% (7/39),47% (9/19),0% (0/2),62% (40/65),28% (16/58),46% (56/123),3,1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],2.69
06.01.,Duckworth J.,2,,,,,,0,1,77%,83% (25/30),78% (7/9),0% (0/0),46% (19/41),50% (9/18),67% (4/6),82% (32/39),47% (28/59),61% (60/98),7,0,100% (8/8),50% (4/8),75% (12/16),"['3', '1', '6', '2']","['3', '1', '6', '2']",[],[],[],1.02
06.01.,Bradshaw J.,0,,,,,,3,2,69%,54% (22/41),50% (9/18),33% (2/6),17% (5/30),22% (2/9),0% (0/0),53% (31/59),18% (7/39),39% (38/98),3,2,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],7.50
05.01.,Halys Q.,0,,,,,,1,3,57%,77% (10/13),30% (3/10),100% (2/2),0% (0/6),0% (0/2),0% (0/0),57% (13/23),0% (0/8),42% (13/31),3,0,100% (2/2),0% (0/2),50% (2/4),[],[],[],[],[],1.02
05.01.,Bradshaw J.,0,,,,,,3,0,75%,100% (6/6),100% (2/2),0% (0/0),23% (3/13),70% (7/10),0% (0/2),100% (8/8),43% (10/23),58% (18/31),7,0,100% (2/2),0% (0/2),50% (2/4),[],[],[],[],[],10.50
28.12.2024,Hanfmann Y.,2,,,,,,1,0,58%,72% (21/29),76% (16/21),50% (1/2),44% (16/36),41% (9/22),50% (3/6),67% (30/45),47% (24/51),56% (54/96),6,0,88% (7/8),38% (3/8),63% (10/16),"['1', '0']","['2', '1', '4', '1']",[],[],[],1.02
28.12.2024,Bradshaw J.,0,,,,,,2,3,62%,56% (20/36),59% (13/22),50% (3/6),28% (8/29),24% (5/21),50% (1/2),53% (27/51),33% (15/45),44% (42/96),4,0,63% (5/8),13% (1/8),38% (6/16),[],[],[],[],[],13.70
27.11.2024,Bradshaw J.,0,,,,,,"['4', '5']",[],[],[],[],1.19
27.11.2024,Ryan Ziegann S.,0,,,,,,"['5', '3']",[],[],[],[],4.28
14.11.2024,Sheehy J.,1,,,,,,"['4', '2']",[],[],[],[],2.77
14.11.2024,Bradshaw J.,0,,,,,,[],[],[],[],[],1.40
13.11.2024,Bradshaw J.,2,,,,,,[],"['4', '2']",[],[],[],1.24
13.11.2024,Ferguson C.,0,,,,,,[],[],[],[],[],3.72
29.10.2024,Shimizu Y.,2,,,,,,5,1,56%,81% (26/32),36% (9/25),60% (3/5),48% (23/48),54% (14/26),38% (5/13),61% (35/57),50% (37/74),55% (72/131),6,0,78% (7/9),56% (5/9),67% (12/18),"['4', '2', '5', '3']","['1', '0', '4', '3', '6', '3']",[],[],[],1.16
29.10.2024,Bradshaw J.,0,,,,,,2,1,65%,52% (25/48),46% (12/26),62% (8/13),19% (6/32),64% (16/25),40% (2/5),50% (37/74),39% (22/57),45% (59/131),4,4,44% (4/9),22% (2/9),33% (6/18),"['3', '4']","['1', '1']",[],[],[],4.75
21.10.2024,Bouzige M.,2,,,,,,14,2,68%,76% (50/66),48% (15/31),78% (7/9),30% (20/66),55% (18/33),38% (3/8),67% (65/97),38% (38/99),53% (103/196),6,0,88% (14/16),20% (3/15),55% (17/31),[],"['5', '5', '7', '5']","['3', '1']",[],[],2.29
21.10.2024,Bradshaw J.,1,,,,,,7,3,67%,70% (46/66),45% (15/33),63% (5/8),24% (16/66),52% (16/31),22% (2/9),62% (61/99),33% (32/97),47% (93/196),4,0,80% (12/15),13% (2/16),45% (14/31),"['1', '0']","['1', '0']",[],[],[],1.58
11.10.2024,Jasika O.,2,,,,,,"['5', '3', '7', '5']","['4', '4', '6', '6']",[],[],[],1.25
11.10.2024,Bradshaw J.,0,,,,,,"['4', '5']","['2', '1', '6', '5']",[],[],[],3.62
10.10.2024,Bradshaw J.,2,,,,,,"['2', '1', '6', '3']","['3', '1', '5', '1']",[],[],[],1.57
10.10.2024,Marinkov P.,0,,,,,,[],[],[],[],[],2.28
08.10.2024,Bradshaw J.,2,,,,,,"['2', '0', '5', '1']",[],"['4', '2']",[],[],1.26
08.10.2024,Court J.,1,,,,,,[],"['4', '2']",[],[],[],3.54
03.10.2024,Winter E.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '4', '6', '5']",[],[],[],1.85
03.10.2024,Bradshaw J.,0,,,,,,"['2', '5']","['1', '1', '4', '2']",[],[],[],1.85
02.10.2024,Bradshaw J.,2,,,,,,"['1', '0']","['3', '2', '6', '3']",[],[],[],1.13
02.10.2024,Delaney Je.,0,,,,,,[],[],[],[],[],5.21
21.09.2024,Jasika O.,2,,,,,,"['2', '0', '4', '0']","['1', '0']",[],[],[],1.19
21.09.2024,Bradshaw J.,0,,,,,,[],[],[],[],[],4.24
20.09.2024,Bradshaw J.,2,,,,,,[],"['6', '6']","['1', '0', '3', '0', '5', '0']",[],[],1.05
20.09.2024,Delaney Je.,1,,,,,,"['4', '3']","['6', '5']",[],[],[],8.45
19.09.2024,Bradshaw J.,2,,,,,,"['2', '1']","['3', '2', '6', '3']",[],[],[],1.22
19.09.2024,Court J.,0,,,,,,[],[],[],[],[],3.96
18.09.2024,Bradshaw J.,2,,,,,,"['3', '1', '5', '1']","['4', '3', '6', '3']",[],[],[],1.24
18.09.2024,Ryan Ziegann S.,0,,,,,,[],[],[],[],[],3.77
13.09.2024,Klintcharov A.,2,,,,,,"['7', '5']","['2', '0', '4', '0']",[],[],[],3.24
13.09.2024,Bradshaw J.,0,,,,,,[],[],[],[],[],1.31
12.09.2024,Bradshaw J.,2,,,,,,[],"['3', '1']",[],[],[],1.30
12.09.2024,Charlton J.,0,,,,,,[],[],[],[],[],3.31
11.09.2024,Bradshaw J.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '1']",[],[],[],1.13
11.09.2024,Loof T.,0,,,,,,[],[],[],[],[],5.29
04.09.2024,Borg L.,2,,,,,,"['2', '0']",[],[],[],[],1.75
04.09.2024,Bradshaw J.,0,,,,,,"['4', '5']",[],[],[],[],1.98
21.08.2024,Sun F.,2,,,,,,7,1,63%,77% (41/53),58% (18/31),0% (0/2),0 km/h,0 km/h,30% (21/69),46% (11/24),18% (2/11),70% (59/84),35% (33/93),52% (92/177),6,0,86% (12/14),14% (2/14),50% (14/28),"['4', '2', '6', '2']",[],[],[],[],1.31
21.08.2024,Bradshaw J.,1,,,,,,6,3,74%,70% (48/69),50% (12/24),82% (9/11),0 km/h,0 km/h,23% (12/53),42% (13/31),100% (2/2),65% (60/93),30% (25/84),48% (85/177),4,1,86% (12/14),14% (2/14),50% (14/28),[],"['3', '2', '5', '2']",[],[],[],3.31
20.08.2024,Bradshaw J.,2,,,,,,10,2,57%,68% (47/69),58% (30/52),70% (7/10),0 km/h,0 km/h,25% (16/64),47% (28/59),20% (1/5),64% (77/121),36% (44/123),50% (121/244),6,1,81% (13/16),6% (1/16),44% (14/32),"['5', '5']",[],[],[],[],2.73
20.08.2024,Uchida K.,1,,,,,,9,10,52%,75% (48/64),53% (31/59),80% (4/5),0 km/h,0 km/h,32% (22/69),42% (22/52),30% (3/10),64% (79/123),36% (44/121),50% (123/244),4,3,94% (15/16),19% (3/16),56% (18/32),"['4', '3']","['4', '2', '6', '2']",[],[],[],1.43
19.08.2024,Bradshaw J.,1,,,,,,0,1,52%,85% (11/13),67% (8/12),100% (3/3),0 km/h,0 km/h,44% (4/9),53% (8/15),67% (2/3),76% (19/25),50% (12/24),63% (31/49),9,0,100% (4/4),50% (2/4),75% (6/8),"['2', '1', '5', '2']",[],[],[],[],1.77
