Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,231/186,26/28,194/135,1/2,-,10/21
2024,1/1,-,-,1/1,-,-
2023,18/25,-,16/16,0/1,-,2/8
2022,11/14,-,3/1,-,-,8/13
2017,1/1,-,1/1,-,-,-
2016,13/14,1/3,12/11,-,-,-
2015,36/21,6/3,30/18,-,-,-
2014,19/20,3/2,16/18,-,-,-
2013,44/22,4/2,40/20,-,-,-
2012,30/14,2/2,28/12,-,-,-
2011,4/2,1/1,3/1,-,-,-
2009,3/1,-,3/1,-,-,-
2008,9/2,-,9/2,-,-,-
2007,3/3,-,3/3,-,-,-
2006,3/1,-,3/1,-,-,-
2005,5/7,-,5/7,-,-,-
2004,12/11,6/3,6/8,-,-,-
2003,12/14,2/6,10/8,-,-,-
2002,7/13,1/6,6/7,-,-,-
