Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,20/21,4/5,11/10,5/6,-,-
2024,12/9,-,8/7,4/2,-,-
2023,6/5,3/2,2/2,1/1,-,-
2022,1/1,1/1,-,-,-,-
2021,1/6,0/2,1/1,0/3,-,-
