Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,204/154,153/120,48/30,-,3/4,-
2024,23/24,21/20,1/3,-,1/1,-
2023,43/31,29/19,13/10,-,1/2,-
2022,28/31,25/26,2/4,-,1/1,-
2021,35/23,27/19,8/4,-,-,-
2020,35/17,18/12,17/5,-,-,-
2019,18/10,12/8,6/2,-,-,-
2018,16/10,15/9,1/1,-,-,-
2017,2/5,2/4,0/1,-,-,-
2016,4/3,4/3,-,-,-,-
