Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,474/257,356/179,72/46,31/27,0/2,15/3
2024,26/21,18/14,4/4,1/1,0/1,3/1
2023,47/24,34/19,-,8/5,-,5/0
2022,40/22,28/15,7/6,0/1,-,5/0
2021,32/20,27/12,1/3,4/5,-,-
2020,26/11,7/5,11/3,8/3,-,-
2019,36/22,18/14,13/2,3/4,-,2/2
2018,16/12,9/6,4/4,3/2,-,-
2017,19/14,15/8,2/2,2/3,0/1,-
2016,51/21,43/15,8/4,0/2,-,-
2015,52/18,46/15,4/2,2/1,-,-
2014,53/22,43/15,10/7,-,-,-
2013,34/20,32/18,2/2,-,-,-
2012,25/17,19/11,6/6,-,-,-
2011,17/13,17/12,0/1,-,-,-
