Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,45/50,44/48,1/2,-,-,-
2024,9/16,9/16,-,-,-,-
2023,24/23,24/22,0/1,-,-,-
2022,12/10,11/9,1/1,-,-,-
2021,0/1,0/1,-,-,-,-
