Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,157/136,106/96,51/40,-,-,-
2024,16/12,9/9,7/3,-,-,-
2023,21/20,11/10,10/10,-,-,-
2022,19/16,7/11,12/5,-,-,-
2021,8/12,8/10,0/2,-,-,-
2020,16/15,16/14,0/1,-,-,-
2019,11/9,11/9,-,-,-,-
2018,31/22,20/13,11/9,-,-,-
2017,29/22,24/19,5/3,-,-,-
2016,6/6,-,6/6,-,-,-
2015,0/2,0/1,0/1,-,-,-
