Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Uesugi K.,1,,,,,,2,3,58%,60% (29/48),60% (21/35),44% (4/9),35% (20/57),38% (15/39),10% (1/10),60% (50/83),36% (35/96),47% (85/179),3,1,62% (8/13),9% (1/11),38% (9/24),[],"['4', '5']",[],[],[],2.94
26.08.,Huang T.,1,,,,,,1,3,59%,65% (37/57),62% (24/39),90% (9/10),40% (19/48),40% (14/35),56% (5/9),64% (61/96),40% (33/83),53% (94/179),7,0,91% (10/11),38% (5/13),63% (15/24),"['1', '0', '4', '1', '6', '1']","['2', '0']","['3', '2']",[],[],1.37
25.08.,Huang T.,2,,,,,,2,2,62%,65% (22/34),52% (11/21),50% (2/4),44% (12/27),67% (16/24),50% (5/10),60% (33/55),53% (27/51),57% (60/106),6,0,78% (7/9),56% (5/9),67% (12/18),"['1', '0', '4', '1']","['1', '2', '2', '3', '4', '3']",[],[],[],1.61
25.08.,Nam Ji S.,0,,,,,,3,2,53%,59% (16/27),33% (8/24),50% (5/10),35% (12/34),48% (10/21),50% (2/4),47% (24/51),40% (22/55),43% (46/106),4,0,44% (4/9),22% (2/9),33% (6/18),[],"['2', '0', '3', '1']",[],[],[],2.23
24.08.,Huang T.,2,,,,,,0,0,56%,71% (22/31),63% (15/24),33% (1/3),41% (16/39),58% (14/24),33% (4/12),8,22,0% (0/2),67% (37/55),48% (30/63),57% (67/118),7,0,80% (8/10),44% (4/9),63% (12/19),"['2', '0', '4', '0']","['1', '0', '5', '4']",[],[],[],1.36
24.08.,Nakagawa S.,0,,,,,,4,8,62%,59% (23/39),42% (10/24),67% (8/12),32% (10/31),38% (9/24),67% (2/3),17,47,55% (6/11),52% (33/63),33% (18/55),43% (51/118),3,1,56% (5/9),20% (2/10),37% (7/19),"['1', '4']","['4', '4']",[],[],[],2.99
22.08.,Kwon S.,2,,,,,,"['4', '3', '5', '4']","['1', '0', '3', '0', '6', '1']",[],[],[],1.08
22.08.,Huang T.,0,,,,,,"['4', '4']",[],[],[],[],6.50
21.08.,Huang T.,2,,,,,,"['2', '1', '4', '1']","['3', '2', '5', '4']",[],[],[],1.90
21.08.,Taguchi R.,0,,,,,,[],"['4', '4']",[],[],[],1.80
19.08.,Huang T.,2,,,,,,"['2', '1']",[],"['2', '2', '5', '3']",[],[],20.0
19.08.,Mochizuki Y.,1,,,,,,[],"['3', '1']","['2', '1']",[],[],1.73
05.08.,Bolt A.,2,,,,,,5,0,61%,70% (30/43),63% (17/27),67% (2/3),39% (16/41),48% (13/27),43% (3/7),20,28,64% (7/11),67% (47/70),43% (29/68),55% (76/138),6,0,90% (9/10),33% (3/9),63% (12/19),"['3', '1', '5', '1']","['1', '0']",[],[],[],1.19
05.08.,Huang T.,0,,,,,,2,4,60%,61% (25/41),52% (14/27),57% (4/7),30% (13/43),37% (10/27),33% (1/3),18,32,78% (7/9),57% (39/68),33% (23/70),45% (62/138),4,1,67% (6/9),10% (1/10),37% (7/19),[],"['2', '2']",[],[],[],4.06
04.08.,Huang T.,2,,,,,,1,2,55%,71% (36/51),51% (21/41),70% (7/10),37% (25/68),59% (10/17),38% (3/8),34,39,66% (19/29),62% (57/92),41% (35/85),52% (92/177),6,0,79% (11/14),23% (3/13),52% (14/27),[],"['6', '5']","['2', '1', '4', '1']",[],[],3.21
04.08.,Kozlov S.,1,,,,,,2,0,80%,63% (43/68),41% (7/17),63% (5/8),29% (15/51),49% (20/41),30% (3/10),19,32,57% (8/14),59% (50/85),38% (35/92),48% (85/177),4,1,77% (10/13),21% (3/14),48% (13/27),"['2', '1', '4', '1', '6', '1']",[],[],[],[],1.32
03.08.,Huang T.,2,,,,,,0,0,62%,74% (23/31),84% (16/19),0% (0/1),28% (11/39),63% (22/35),43% (3/7),11,15,78% (14/18),78% (39/50),46% (33/71),60% (72/121),8,0,90% (9/10),33% (3/9),63% (12/19),"['5', '3']","['3', '4', '5', '4']",[],[],[],2.00
03.08.,Seggerman R.,0,,,,,,8,7,53%,72% (28/39),34% (12/35),57% (4/7),26% (8/31),16% (3/19),100% (1/1),17,35,62% (8/13),54% (38/71),22% (11/50),40% (49/121),2,0,67% (6/9),10% (1/10),37% (7/19),[],"['3', '1']",[],[],[],1.74
27.07.,Svajda T.,2,,,,,,2,1,55%,68% (25/37),53% (16/30),67% (2/3),53% (19/36),39% (7/18),50% (4/8),18,35,63% (5/8),61% (41/67),48% (26/54),55% (67/121),5,0,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '4', '0']","['1', '0', '5', '4']",[],[],[],1.13
27.07.,Huang T.,0,,,,,,0,3,67%,47% (17/36),61% (11/18),50% (4/8),32% (12/37),47% (14/30),33% (1/3),9,38,75% (3/4),52% (28/54),39% (26/67),45% (54/121),5,4,50% (4/8),11% (1/9),29% (5/17),[],"['3', '3']",[],[],[],5.20
22.07.,Blockx A.,2,,,,,,0,1,65%,69% (18/26),57% (8/14),0% (0/2),47% (8/17),73% (22/30),67% (6/9),5,16,100% (5/5),65% (26/40),64% (30/47),64% (56/87),7,0,75% (6/8),86% (6/7),80% (12/15),"['3', '1', '4', '2', '6', '2']","['2', '0', '4', '0', '5', '1']",[],[],[],1.11
22.07.,Huang T.,0,,,,,,0,6,36%,53% (9/17),27% (8/30),33% (3/9),31% (8/26),43% (6/14),100% (2/2),7,34,75% (3/4),36% (17/47),35% (14/40),36% (31/87),3,1,14% (1/7),25% (2/8),20% (3/15),"['2', '3']","['1', '4']",[],[],[],5.75
21.07.,Huang T.,2,,,,,,3,3,58%,63% (34/54),56% (22/39),56% (5/9),39% (23/59),54% (21/39),63% (5/8),23,44,52% (12/23),60% (56/93),45% (44/98),52% (100/191),4,0,73% (11/15),33% (5/15),53% (16/30),"['1', '1', '3', '1']","['6', '4']","['3', '1', '6', '4']",[],[],4.70
21.07.,Andrade A.,1,,,,,,2,10,60%,61% (36/59),46% (18/39),38% (3/8),37% (20/54),44% (17/39),44% (4/9),24,58,80% (4/5),55% (54/98),40% (37/93),48% (91/191),6,0,67% (10/15),27% (4/15),47% (14/30),"['1', '0', '2', '3', '4', '3']",[],"['4', '5']",[],[],1.17
20.07.,Huang T.,2,,,,,,3,3,60%,70% (45/64),38% (16/42),64% (7/11),28% (16/58),51% (25/49),36% (4/11),18,48,75% (6/8),58% (61/106),38% (41/107),48% (102/213),5,0,73% (11/15),25% (4/16),48% (15/31),[],"['5', '3']","['1', '0', '2', '1', '4', '3']",[],[],3.21
20.07.,Moriya H.,1,,,,,,2,3,54%,72% (42/58),49% (24/49),64% (7/11),30% (19/64),62% (26/42),36% (4/11),20,52,93% (14/15),62% (66/107),42% (45/106),52% (111/213),5,1,75% (12/16),27% (4/15),52% (16/31),"['4', '2']","['4', '5']","['1', '1', '3', '3']",[],[],1.32
13.07.,Perez A.,2,,,,,,2,3,63%,63% (26/41),63% (15/24),91% (10/11),32% (8/25),54% (14/26),100% (4/4),15,26,63% (41/65),43% (22/51),54% (63/116),6,0,89% (8/9),44% (4/9),67% (12/18),"['2', '1', '4', '1']","['2', '3', '4', '3']",[],[],[],1.20
13.07.,Huang T.,0,,,,,,0,2,49%,68% (17/25),46% (12/26),0% (0/4),37% (15/41),38% (9/24),9% (1/11),8,16,57% (29/51),37% (24/65),46% (53/116),4,1,56% (5/9),11% (1/9),33% (6/18),[],"['2', '0']",[],[],[],4.27
08.07.,Glinka D.,2,,,,,,8,2,69%,64% (38/59),52% (14/27),50% (4/8),43% (20/46),47% (16/34),86% (6/7),26,42,60% (3/5),60% (52/86),45% (36/80),53% (88/166),7,0,71% (10/14),43% (6/14),57% (16/28),"['3', '4']","['1', '0', '4', '3', '6', '3']","['2', '2', '5', '3']",[],[],1.27
08.07.,Huang T.,1,,,,,,0,1,58%,57% (26/46),53% (18/34),14% (1/7),36% (21/59),48% (13/27),50% (4/8),16,48,73% (11/15),55% (44/80),40% (34/86),47% (78/166),3,0,57% (8/14),29% (4/14),43% (12/28),"['3', '1', '6', '4']","['3', '3']","['2', '1']",[],[],3.54
06.07.,Huang T.,2,,,,,,2,2,64%,83% (29/35),65% (13/20),100% (2/2),14% (3/22),59% (17/29),67% (2/3),8,23,100% (4/4),76% (42/55),39% (20/51),58% (62/106),6,0,100% (10/10),22% (2/9),63% (12/19),"['2', '0']","['3', '2']",[],[],[],2.77
06.07.,Pospisil V.,0,,,,,,5,4,43%,86% (19/22),41% (12/29),33% (1/3),17% (6/35),35% (7/20),0% (0/2),9,45,100% (3/3),61% (31/51),24% (13/55),42% (44/106),4,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],1.41
19.06.,Cui J.,2,,,,,,"['2', '0', '4', '0']","['4', '3']",[],[],[],1.25
19.06.,Huang T.,0,,,,,,[],[],[],[],[],3.62
18.06.,Huang T.,2,,,,,,"['3', '3', '5', '3', '7', '5']","['5', '5', '7', '5']",[],[],[],2.01
18.06.,Sinclair C.,0,,,,,,"['2', '1', '4', '5']","['5', '4']",[],[],[],1.71
