Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,48/56,16/17,25/34,-,7/5,-
2023,24/26,2/2,17/22,-,5/2,-
2022,2/3,-,2/3,-,-,-
2021,7/6,7/6,-,-,-,-
2020,1/1,-,-,-,1/1,-
2019,0/1,-,0/1,-,-,-
2018,4/4,3/2,-,-,1/2,-
2017,3/2,3/2,-,-,-,-
2016,4/5,1/2,3/3,-,-,-
2015,3/7,0/2,3/5,-,-,-
2014,0/1,0/1,-,-,-,-
