Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,330/236,154/83,89/80,71/52,14/19,2/2
2024,16/10,9/5,6/3,1/2,-,-
2023,5/5,3/2,1/1,1/2,-,-
2021,7/5,5/2,2/1,0/2,-,-
2019,0/1,0/1,-,-,-,-
2018,1/1,-,-,1/1,-,-
2017,1/3,1/1,-,0/2,-,-
2015,2/4,1/2,-,1/2,-,-
2014,1/3,-,1/2,0/1,-,-
2013,6/9,5/6,-,1/2,0/1,-
2012,33/25,16/9,11/10,5/5,1/1,-
2011,17/24,2/6,12/13,1/1,1/3,1/1
2010,40/25,17/5,11/13,6/3,5/3,1/1
2009,46/23,16/5,14/10,13/6,3/2,-
2008,20/22,4/6,11/10,3/3,2/3,-
2007,20/26,11/10,2/9,5/5,2/2,-
2006,59/24,31/10,11/5,17/6,0/3,-
2005,28/15,19/8,5/2,4/4,0/1,-
2004,27/7,13/3,2/1,12/3,-,-
2003,1/4,1/2,-,0/2,-,-
