Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,147/101,51/45,96/56,-,-,-
2024,43/23,18/11,25/12,-,-,-
2023,42/27,15/12,27/15,-,-,-
2022,29/21,3/5,26/16,-,-,-
2021,19/19,12/12,7/7,-,-,-
2020,10/7,2/4,8/3,-,-,-
2019,2/2,-,2/2,-,-,-
2018,2/2,1/1,1/1,-,-,-
