Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,274/181,250/154,24/26,0/1,-,-
2024,36/24,36/23,-,0/1,-,-
2023,51/31,44/27,7/4,-,-,-
2022,34/29,30/20,4/9,-,-,-
2021,52/28,48/25,4/3,-,-,-
2020,14/12,13/9,1/3,-,-,-
2019,41/25,34/21,7/4,-,-,-
2018,25/14,25/13,0/1,-,-,-
2017,15/9,15/9,-,-,-,-
2016,2/4,2/4,-,-,-,-
2015,4/5,3/3,1/2,-,-,-
