Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.08.2024,Correa Beguerie L.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '3', '5', '5', '5']",[],[],[],1.08
13.08.2024,Espanol Moreno J. A.,0,,,,,,[],"['1', '2', '3', '2', '5', '2']",[],[],[],6.90
18.10.2023,Sell K.,2,,,,,,[],[],[],[],[],1.68
18.10.2023,Espanol Moreno J. A.,0,,,,,,[],[],[],[],[],15.0
17.10.2023,Espanol Moreno J. A.,2,,,,,,[],[],[],[],[],1.43
17.10.2023,Aronson J.,0,,,,,,[],[],[],[],[],2.67
