https://www.tennisexplorer.com/res/img/default-avatar.jpg
Espanol Moreno Juan Arturo
Country: Colombia
Age: 21 (11. 7. 2003)
Current/Highest rank - singles: 1841. / 1668.
Current/Highest rank - doubles: 2389. / 2150.
Sex: man
Plays: right
