Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,422/285,17/28,377/228,12/13,2/6,14/10
2024,1/1,-,1/1,-,-,-
2023,22/21,0/1,20/15,2/3,0/2,-
2022,48/18,3/3,39/13,3/1,0/1,3/0
2021,21/30,6/13,15/15,0/1,0/1,-
2020,3/4,-,0/2,-,-,3/2
2019,46/21,0/1,44/19,-,-,2/1
2018,36/19,-,35/17,-,-,1/2
2017,30/25,0/1,30/20,0/1,0/1,0/2
2016,34/21,-,31/20,-,-,3/1
2015,37/23,-,35/21,0/1,-,2/1
2014,24/18,-,20/14,4/3,-,0/1
2013,37/16,5/3,30/11,0/1,2/1,-
2012,14/17,-,14/17,-,-,-
2011,25/14,-,24/13,1/1,-,-
2010,8/15,0/2,8/13,-,-,-
2009,25/14,1/2,22/11,2/1,-,-
2008,10/4,2/1,8/3,-,-,-
2007,1/4,0/1,1/3,-,-,-
