Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,57/44,2/7,38/35,-,-,17/2
2024,23/14,-,13/14,-,-,10/0
2023,23/17,1/4,15/11,-,-,7/2
2022,5/6,-,5/6,-,-,-
2021,6/7,1/3,5/4,-,-,-
