Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,135/109,129/107,-,1/1,-,5/1
2024,26/24,26/24,-,-,-,-
2023,53/32,48/31,-,-,-,5/1
2022,25/24,25/24,-,-,-,-
2021,16/17,16/17,-,-,-,-
2020,8/5,7/4,-,1/1,-,-
2019,7/6,7/6,-,-,-,-
2018,0/1,0/1,-,-,-,-
