Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,66/117,42/76,24/35,0/3,-,0/3
2023,13/18,9/11,4/6,0/1,-,-
2022,12/23,3/8,9/12,-,-,0/3
2021,5/9,5/8,0/1,-,-,-
2020,0/2,0/1,-,0/1,-,-
2019,18/20,13/14,5/5,0/1,-,-
2018,7/21,6/19,1/2,-,-,-
2017,8/21,5/15,3/6,-,-,-
2016,2/3,-,2/3,-,-,-
2009,1/0,1/0,-,-,-,-
