Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,541/322,41/37,262/125,172/101,66/59,-
2024,12/6,-,2/2,10/4,-,-
2023,41/28,-,20/14,11/8,10/6,-
2022,50/24,-,8/7,26/11,16/6,-
2021,49/14,-,23/6,26/8,-,-
2020,13/11,1/2,-,12/9,-,-
2017,0/1,-,-,-,0/1,-
2016,25/16,1/1,13/7,8/5,3/3,-
2015,40/21,1/2,16/7,19/6,4/6,-
2014,41/24,2/2,25/13,12/5,2/4,-
2013,65/23,4/2,45/13,4/3,12/5,-
2012,29/13,-,22/8,3/3,4/2,-
2011,33/30,3/3,23/19,7/4,0/4,-
2010,45/23,6/7,25/7,7/5,7/4,-
2009,34/28,5/5,16/5,12/12,1/6,-
2008,30/23,12/8,7/6,5/4,6/5,-
2007,16/13,6/3,3/2,6/4,1/4,-
2006,11/15,0/2,9/5,2/5,0/3,-
2005,7/9,-,5/4,2/5,-,-
