Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
03.05.2024,Hudd E.,2,,,,,,"['4', '2', '6', '2']","['2', '0']",[],[],[],2.24
03.05.2024,Cox D.,0,,,,,,[],[],[],[],[],1.60
02.05.2024,Cox D.,2,,,,,,"['2', '0', '3', '1', '4', '2']","['4', '3']",[],[],[],1.35
02.05.2024,Pieczkowski O.,0,,,,,,"['1', '2', '2', '3', '3', '4']","['4', '4']",[],[],[],3.02
30.04.2024,Cox D.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['3', '3', '5', '3']",[],[],[],3.24
30.04.2024,Masur D.,0,,,,,,[],"['3', '2']",[],[],[],1.31
24.04.2024,Masur D.,2,,,,,,"['2', '1']","['2', '3', '4', '3']",[],[],[],1.31
24.04.2024,Cox D.,0,,,,,,[],"['3', '1']",[],[],[],3.24
14.02.2024,Searle H.,2,,,,,,8,3,61%,79% (30/38),63% (15/24),100% (1/1),20% (8/41),63% (10/16),50% (2/4),73% (45/62),32% (18/57),53% (63/119),6,0,100% (10/10),20% (2/10),60% (12/20),"['1', '0']","['2', '1']",[],[],[],2.04
14.02.2024,Cox D.,0,,,,,,6,0,72%,80% (33/41),38% (6/16),50% (2/4),21% (8/38),38% (9/24),0% (0/1),68% (39/57),27% (17/62),47% (56/119),4,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],1.72
13.02.2024,Cox D.,2,,,,,,1,2,64%,82% (28/34),53% (10/19),0% (0/1),32% (10/31),58% (15/26),50% (3/6),72% (38/53),44% (25/57),57% (63/110),5,0,75% (6/8),38% (3/8),56% (9/16),"['5', '1', '6', '3']","['3', '2']",[],[],[],2.21
13.02.2024,Kym J.,0,,,,,,3,2,54%,68% (21/31),42% (11/26),50% (3/6),18% (6/34),47% (9/19),100% (1/1),56% (32/57),28% (15/53),43% (47/110),5,0,63% (5/8),25% (2/8),44% (7/16),"['2', '5']",[],[],[],[],1.63
12.02.2024,Cox D.,2,,,,,,1,0,70%,77% (24/31),54% (7/13),100% (2/2),38% (8/21),69% (18/26),36% (5/14),70% (31/44),55% (26/47),63% (57/91),5,0,100% (7/7),71% (5/7),86% (12/14),"['2', '1', '4', '1', '6', '1']","['2', '0', '4', '0']",[],[],[],1.23
12.02.2024,Rossi L.,0,,,,,,3,4,45%,62% (13/21),31% (8/26),64% (9/14),23% (7/31),46% (6/13),0% (0/2),45% (21/47),30% (13/44),37% (34/91),5,0,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],3.95
11.02.2024,Cox D.,2,,,,,,3,0,61%,64% (29/45),59% (17/29),43% (3/7),41% (28/69),47% (15/32),25% (3/12),62% (46/74),43% (43/101),51% (89/175),8,0,71% (10/14),23% (3/13),48% (13/27),[],"['4', '2', '7', '5']","['5', '3']",[],[],1.45
11.02.2024,Guerrieri A.,1,,,,,,2,1,68%,59% (41/69),53% (17/32),75% (9/12),36% (16/45),41% (12/29),57% (4/7),57% (58/101),38% (28/74),49% (86/175),2,0,77% (10/13),29% (4/14),52% (14/27),"['1', '0', '3', '0', '5', '0']","['4', '5']",[],[],[],2.66
05.02.2024,Moeller M.,2,,,,,,8,2,66%,74% (23/31),63% (10/16),100% (4/4),49% (17/35),72% (13/18),45% (5/11),70% (33/47),57% (30/53),63% (63/100),7,0,100% (7/7),71% (5/7),86% (12/14),"['1', '0', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.60
05.02.2024,Cox D.,0,,,,,,1,2,66%,51% (18/35),28% (5/18),55% (6/11),26% (8/31),38% (6/16),0% (0/4),43% (23/53),30% (14/47),37% (37/100),3,0,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],2.26
04.02.2024,Cox D.,2,,,,,,1,3,57%,75% (24/32),58% (14/24),75% (3/4),44% (16/36),60% (9/15),40% (4/10),68% (38/56),49% (25/51),59% (63/107),6,0,89% (8/9),50% (4/8),71% (12/17),"['1', '1', '3', '1', '6', '2']","['5', '3']",[],[],[],1.76
04.02.2024,Barton H.,0,,,,,,6,0,71%,56% (20/36),40% (6/15),60% (6/10),25% (8/32),42% (10/24),25% (1/4),51% (26/51),32% (18/56),41% (44/107),4,2,50% (4/8),11% (1/9),29% (5/17),"['1', '0']",[],[],[],[],1.99
19.01.2024,Edmund K.,2,,,,,,"['2', '1']","['1', '0', '5', '2']",[],[],[],1.34
19.01.2024,Cox D.,0,,,,,,[],[],[],[],[],3.08
18.01.2024,Cox D.,2,,,,,,"['4', '2']","['1', '0', '5', '2']",[],[],[],1.87
18.01.2024,Searle H.,0,,,,,,"['4', '5']","['3', '5']",[],[],[],1.85
16.01.2024,Cox D.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '5', '1']",[],[],[],1.22
16.01.2024,Shaw M.,0,,,,,,[],[],[],[],[],3.96
10.01.2024,Matusevich A.,2,,,,,,"['4', '5', '6', '5']","['3', '2', '6', '5']",[],[],[],1.37
10.01.2024,Cox D.,0,,,,,,"['3', '1']","['5', '5']",[],[],[],2.92
03.11.2023,Stewart H.,2,,,,,,"['1', '0', '3', '0']","['4', '3']",[],[],[],1.78
03.11.2023,Cox D.,0,,,,,,[],[],[],[],[],1.93
