Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,379/212,253/110,104/72,19/21,1/7,2/2
2024,49/12,49/12,-,-,-,-
2023,10/16,5/5,2/6,3/5,-,-
2022,20/5,18/4,-,2/1,-,-
2021,6/13,1/4,2/5,-,1/2,2/2
2020,19/8,7/3,12/5,-,-,-
2019,51/18,20/5,31/12,-,0/1,-
2017,10/19,0/5,10/12,0/1,0/1,-
2016,23/30,9/11,10/11,4/6,0/2,-
2015,30/28,7/10,16/11,7/6,0/1,-
2014,71/20,57/14,13/5,1/1,-,-
2013,24/7,22/4,2/3,-,-,-
2012,34/18,26/15,6/2,2/1,-,-
2011,24/11,24/11,-,-,-,-
2010,8/6,8/6,-,-,-,-
2009,0/1,0/1,-,-,-,-
