Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,42/37,42/36,-,0/1,-,-
2024,7/11,7/11,-,-,-,-
2023,25/19,25/19,-,-,-,-
2022,10/7,10/6,-,0/1,-,-
