Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,611/413,349/210,206/151,41/30,7/15,8/7
2024,16/27,5/11,9/12,1/1,1/3,-
2023,45/30,7/10,34/16,1/1,2/3,1/0
2022,43/29,12/7,27/17,1/1,2/3,1/1
2021,30/25,21/15,5/7,4/3,-,-
2020,18/15,3/5,9/9,6/1,-,-
2019,31/35,14/19,13/14,2/2,-,2/0
2018,34/29,16/8,13/13,2/5,2/2,1/1
2017,42/31,22/16,20/11,0/2,0/1,0/1
2016,32/29,25/16,4/9,1/2,0/1,2/1
2015,62/28,37/13,12/7,12/6,0/1,1/1
2014,37/30,19/13,11/9,7/5,0/1,0/2
2013,55/31,40/23,15/8,-,-,-
2012,62/30,41/20,17/9,4/1,-,-
2011,71/28,56/20,15/8,-,-,-
2010,29/11,27/9,2/2,-,-,-
2009,1/3,1/3,-,-,-,-
2008,3/2,3/2,-,-,-,-
