Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,462/371,211/190,221/163,4/6,-,26/12
2024,26/30,16/17,6/12,-,-,4/1
2023,37/26,13/13,20/13,-,-,4/0
2022,38/36,13/16,11/16,2/1,-,12/3
2021,31/28,8/16,23/12,-,-,-
2020,13/14,3/4,9/8,1/2,-,-
2019,45/34,21/18,23/15,1/1,-,-
2018,15/25,5/14,10/11,-,-,-
2017,49/25,36/17,13/8,-,-,-
2016,24/29,12/14,9/12,0/2,-,3/1
2015,36/28,20/12,15/14,-,-,1/2
2014,45/24,8/9,37/12,-,-,0/3
2013,43/28,12/11,29/15,-,-,2/2
2012,35/26,32/20,3/6,-,-,-
2011,21/11,11/6,10/5,-,-,-
2010,1/1,-,1/1,-,-,-
2009,3/5,1/3,2/2,-,-,-
2008,0/1,-,0/1,-,-,-
