Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,771/615,632/407,101/122,24/59,8/24,6/3
2024,22/29,22/27,0/2,-,-,-
2023,33/39,30/26,1/8,2/2,0/2,0/1
2022,30/31,24/18,4/7,1/4,0/2,1/0
2021,25/28,20/14,5/8,0/3,0/3,-
2020,9/18,7/13,2/3,0/2,-,-
2019,49/34,41/21,8/10,0/2,0/1,-
2018,27/31,14/15,4/11,4/4,2/1,3/0
2017,34/35,22/14,8/12,1/3,2/5,1/1
2016,36/31,21/13,9/12,4/4,2/2,-
2015,39/30,29/18,9/7,0/3,1/2,-
2014,63/36,57/25,3/5,3/6,-,-
2013,28/31,22/16,4/8,0/4,1/2,1/1
2012,28/33,19/15,6/10,3/5,0/3,-
2011,57/35,50/25,5/3,2/7,-,-
2010,57/41,52/32,2/3,3/5,0/1,-
2009,71/30,68/25,2/1,1/4,-,-
2008,48/30,48/30,-,-,-,-
2007,36/28,33/24,3/3,0/1,-,-
2006,33/17,15/12,18/5,-,-,-
2005,35/19,27/15,8/4,-,-,-
2004,11/9,11/9,-,-,-,-
