Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,94/124,30/36,55/82,-,9/6,-
2024,1/8,0/3,1/5,-,-,-
2023,12/14,3/5,8/8,-,1/1,-
2022,7/16,1/6,6/10,-,-,-
2021,11/18,6/9,5/9,-,-,-
2020,5/8,-,1/7,-,4/1,-
2019,18/22,1/2,13/18,-,4/2,-
2018,15/22,4/2,11/18,-,0/2,-
2017,21/13,11/6,10/7,-,-,-
2015,4/2,4/2,-,-,-,-
2014,0/1,0/1,-,-,-,-
