Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,262/172,21/19,210/133,16/11,7/7,8/2
2024,26/28,3/5,23/21,-,0/2,-
2023,55/28,6/5,33/18,8/1,2/3,6/1
2022,38/25,3/4,25/14,3/4,5/2,2/1
2021,41/15,8/2,32/12,1/1,-,-
2020,10/5,-,9/4,1/1,-,-
2019,26/29,0/1,24/26,2/2,-,-
2018,47/27,-,47/27,-,-,-
2017,7/7,1/2,5/4,1/1,-,-
2016,10/7,-,10/6,0/1,-,-
2015,2/1,-,2/1,-,-,-
