Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,592/242,205/70,263/114,56/35,48/18,20/5
2024,0/2,0/1,0/1,-,-,-
2022,39/11,5/3,23/6,-,11/2,-
2021,25/10,4/3,13/5,8/2,-,-
2020,23/3,13/1,10/2,-,-,-
2019,43/17,9/3,20/11,1/2,9/1,4/0
2018,46/11,14/3,28/7,-,2/1,2/0
2017,47/17,18/3,19/10,2/2,6/2,2/0
2016,45/18,14/3,24/10,1/2,4/1,2/2
2015,49/17,6/4,39/8,1/2,2/2,1/1
2014,49/18,17/3,20/8,3/3,6/2,3/2
2013,53/17,18/5,20/10,9/1,6/1,-
2012,29/24,9/6,15/12,2/3,0/3,3/0
2011,29/26,11/10,15/12,2/2,1/2,-
2010,42/23,21/9,8/8,9/5,1/1,3/0
2009,34/18,15/7,5/3,14/8,-,-
2008,26/8,18/4,4/1,4/3,-,-
2007,10/0,10/0,-,-,-,-
2006,3/2,3/2,-,-,-,-
