Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
19.08.,Crawford O.,2,,,,,,8,6,65%,71% (51/72),45% (17/38),70% (7/10),38% (24/64),42% (16/38),36% (4/11),63% (67/107),37% (38/102),50% (105/209),6,0,81% (13/16),25% (4/16),53% (17/32),"['1', '2']","['1', '0', '4', '3']","['1', '0']",[],[],1.94
19.08.,Bolt A.,1,,,,,,7,1,63%,66% (42/64),58% (22/38),64% (7/11),31% (22/72),55% (21/38),30% (3/10),63% (64/102),37% (40/107),50% (104/209),4,0,75% (12/16),19% (3/16),47% (15/32),"['2', '0', '7', '5']","['3', '3']",[],[],[],1.83
06.08.,Johns G.,2,,,,,,7,1,56%,69% (33/48),57% (21/37),50% (2/4),32% (18/57),51% (21/41),23% (3/13),27,24,29% (2/7),64% (54/85),40% (39/98),51% (93/183),7,0,86% (12/14),21% (3/14),54% (15/28),"['1', '0', '4', '1']",[],"['6', '5']",[],[],2.77
06.08.,Bolt A.,1,,,,,,9,3,58%,68% (39/57),49% (20/41),77% (10/13),31% (15/48),43% (16/37),50% (2/4),37,37,60% (15/25),60% (59/98),36% (31/85),49% (90/183),3,0,79% (11/14),14% (2/14),46% (13/28),[],"['4', '2', '6', '2']",[],[],[],1.41
05.08.,Bolt A.,2,,,,,,5,0,61%,70% (30/43),63% (17/27),67% (2/3),39% (16/41),48% (13/27),43% (3/7),20,28,64% (7/11),67% (47/70),43% (29/68),55% (76/138),6,0,90% (9/10),33% (3/9),63% (12/19),"['3', '1', '5', '1']","['1', '0']",[],[],[],1.19
05.08.,Huang T.,0,,,,,,2,4,60%,61% (25/41),52% (14/27),57% (4/7),30% (13/43),37% (10/27),33% (1/3),18,32,78% (7/9),57% (39/68),33% (23/70),45% (62/138),4,1,67% (6/9),10% (1/10),37% (7/19),[],"['2', '2']",[],[],[],4.06
29.07.,Hussey G.,2,,,,,,8,2,61%,74% (40/54),50% (17/34),71% (5/7),28% (15/54),48% (14/29),43% (3/7),19,40,100% (2/2),65% (57/88),35% (29/83),50% (86/171),7,0,86% (12/14),21% (3/14),54% (15/28),"['2', '1']",[],"['3', '3', '5', '3']",[],[],2.63
29.07.,Bolt A.,1,,,,,,2,4,65%,72% (39/54),52% (15/29),57% (4/7),26% (14/54),50% (17/34),29% (2/7),18,39,86% (6/7),65% (54/83),35% (31/88),50% (85/171),3,0,79% (11/14),14% (2/14),46% (13/28),[],"['2', '0']","['1', '0']",[],[],1.45
22.07.,Fery A.,2,,,,,,10,5,61%,70% (35/50),63% (20/32),33% (1/3),42% (28/67),50% (25/50),40% (4/10),36,41,70% (14/20),67% (55/82),45% (53/117),54% (108/199),6,0,86% (12/14),29% (4/14),57% (16/28),"['3', '2', '5', '4']",[],"['2', '1', '4', '1']",[],[],1.83
22.07.,Bolt A.,1,,,,,,9,3,57%,58% (39/67),50% (25/50),60% (6/10),30% (15/50),38% (12/32),67% (2/3),29,44,59% (17/29),55% (64/117),33% (27/82),46% (91/199),4,3,71% (10/14),14% (2/14),43% (12/28),"['4', '4']","['6', '4']",[],[],[],1.98
