Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,454/315,95/72,263/200,9/8,87/35,-
2024,42/19,-,20/15,-,22/4,-
2023,27/22,0/2,22/17,-,5/3,-
2022,11/10,-,11/10,-,-,-
2021,19/18,0/7,7/6,2/2,10/3,-
2020,15/16,0/4,15/12,-,-,-
2019,27/26,2/3,18/17,2/1,5/5,-
2018,37/24,1/3,27/15,0/1,9/5,-
2017,50/27,6/6,29/14,4/3,11/4,-
2016,10/8,1/1,7/6,-,2/1,-
2015,37/26,3/2,24/19,-,10/5,-
2014,38/26,20/7,13/16,-,5/3,-
2013,31/29,6/7,21/20,1/1,3/1,-
2012,66/28,32/17,29/10,-,5/1,-
2011,25/19,21/11,4/8,-,-,-
2010,15/11,3/2,12/9,-,-,-
2009,4/6,-,4/6,-,-,-
